seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,426795,427978,434321,431897,434869,428443,430717.17,1.00,1.0000,1.0000
single-group,463308,437082,445921,448029,442863,449403,447767.67,1.04,0.0013,0.0022
single-group_random-42,456063,450228,447171,455490,453853,446832,451606.17,1.05,0.0000,0.0022
single-group_random-43,461399,463481,462933,463272,458204,449649,459823.00,1.07,0.0000,0.0022
single-group_random-44,451632,445224,447024,441625,445621,444343,445911.50,1.04,0.0000,0.0022
single-group_random-45,452837,454899,458869,464861,451509,462749,457620.67,1.06,0.0000,0.0022
single-group_random-46,463337,462685,472183,458076,465203,472874,465726.33,1.08,0.0000,0.0022
