seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,1066360,1100856,1122745,1110090,1002051,925541,1054607,0.973,1.005
42,1065196,1101882,1137737,1122225,1016593,937892,1063588,0.981,1.013
default,1146162,1141857,1131966,1122811,965391,997891,1084346,1.0,1.033
fastest,1065856,1072576,1003763,1057914,1074972,1023333,1049736,0.968,1.0
GC_torder,1157294,1124542,1093059,1123484,1167153,1101088,1127770,1.04,1.074
GC_morder,1193380,1141599,1153472,1162876,1132569,1140635,1154088,1.064,1.099
