seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,127469,124880,130469,127471,100287,97031,117934,1.055,0.885
42,117621,126379,122307,120817,97982,100404,114252,1.023,0.857
default,114855,126988,125534,114416,95822,92787,111734,1.0,0.838
fastest,123983,126194,136437,143330,134057,135571,133262,1.193,1.0
GC_torder,165103,163439,121275,123452,113672,85828,128795,1.153,0.966
GC_morder,188240,170643,141647,139452,110675,92854,140585,1.258,1.055
