seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,502177,501247,503285,501279,502346,492046,500397,0.992,0.951
42,511303,516935,516535,517376,512324,508136,513768,1.018,0.977
default,502621,504717,506851,508910,507129,496795,504504,1.0,0.959
fastest,521663,527005,531819,522256,520421,532579,525957,1.043,1.0
GC_torder,360390,378064,509514,461413,456000,359625,420834,0.834,0.8
GC_morder,507593,466466,454833,362845,303042,301032,399302,0.791,0.759
