seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,243133,244934,247146,241163,228799,191366,232757,1.001,1.005
42,246255,244661,247195,233709,221451,189450,230454,0.991,0.995
default,243539,243558,249579,239751,227346,190935,232451,1.0,1.003
fastest,223805,238837,228394,239580,229921,229738,231712,0.997,1.0
GC_torder,199046,215066,189743,200527,233370,188020,204295,0.879,0.882
GC_morder,179719,182721,169765,143574,160302,143608,163282,0.702,0.705
