seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,437540,436442,446869,448792,388514,388002,424360,1.025,0.996
42,432741,440220,438479,447742,400047,370329,421593,1.018,0.989
default,429499,434561,428833,435838,381471,375021,414204,1.0,0.972
fastest,421285,427006,427087,421550,431266,428631,426138,1.029,1.0
GC_torder,531919,533919,447205,408806,421960,417850,460276,1.111,1.08
GC_morder,506403,519083,444978,406602,404968,403481,447586,1.081,1.05
