seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,235413,236674,236462,222319,215110,214945,226820,1.013,1.044
42,233467,235622,236299,218777,212385,210831,224564,1.003,1.034
default,233707,232254,234529,217964,214161,210855,223912,1.0,1.031
fastest,215979,215402,219391,211452,219678,221661,217260,0.97,1.0
GC_torder,286362,231767,225974,258963,226223,248694,246330,1.1,1.134
GC_morder,292893,256713,222099,245044,229627,259416,250965,1.121,1.155
