project,seed1,seed2,T-test,U-test
assertj-assertions-generator,0,42,0.000,0.002
assertj-assertions-generator,0,default,0.126,0.065
assertj-assertions-generator,0,fastest,0.000,0.002
assertj-assertions-generator,0,GC_torder,0.012,0.065
assertj-assertions-generator,0,GC_morder,0.019,0.065
assertj-assertions-generator,42,default,0.003,0.004
assertj-assertions-generator,42,fastest,0.001,0.002
assertj-assertions-generator,42,GC_torder,0.005,0.004
assertj-assertions-generator,42,GC_morder,0.010,0.002
assertj-assertions-generator,default,fastest,0.000,0.002
assertj-assertions-generator,default,GC_torder,0.009,0.065
assertj-assertions-generator,default,GC_morder,0.016,0.041
assertj-assertions-generator,fastest,GC_torder,0.002,0.002
assertj-assertions-generator,fastest,GC_morder,0.006,0.002
assertj-assertions-generator,GC_torder,GC_morder,0.639,0.699
commons-cli,0,42,0.859,1.000
commons-cli,0,default,0.981,0.937
commons-cli,0,fastest,0.910,0.240
commons-cli,0,GC_torder,0.029,0.041
commons-cli,0,GC_morder,0.000,0.002
commons-cli,42,default,0.878,1.000
commons-cli,42,fastest,0.897,0.589
commons-cli,42,GC_torder,0.047,0.065
commons-cli,42,GC_morder,0.000,0.002
commons-cli,default,fastest,0.938,0.310
commons-cli,default,GC_torder,0.032,0.041
commons-cli,default,GC_morder,0.000,0.002
commons-cli,fastest,GC_torder,0.004,0.026
commons-cli,fastest,GC_morder,0.000,0.002
commons-cli,GC_torder,GC_morder,0.002,0.002
commons-csv,0,42,0.873,0.937
commons-csv,0,default,0.547,0.132
commons-csv,0,fastest,0.882,0.394
commons-csv,0,GC_torder,0.201,0.485
commons-csv,0,GC_morder,0.366,0.589
commons-csv,42,default,0.669,0.394
commons-csv,42,fastest,0.722,0.394
commons-csv,42,GC_torder,0.176,0.485
commons-csv,42,GC_morder,0.321,0.485
commons-csv,default,fastest,0.327,0.589
commons-csv,default,GC_torder,0.109,0.394
commons-csv,default,GC_morder,0.202,0.394
commons-csv,fastest,GC_torder,0.179,0.818
commons-csv,fastest,GC_morder,0.346,1.000
commons-csv,GC_torder,GC_morder,0.700,0.310
commons-codec,0,42,0.842,0.818
commons-codec,0,default,0.527,0.240
commons-codec,0,fastest,0.887,0.589
commons-codec,0,GC_torder,0.054,0.041
commons-codec,0,GC_morder,0.012,0.002
commons-codec,42,default,0.655,0.394
commons-codec,42,fastest,0.684,0.589
commons-codec,42,GC_torder,0.081,0.132
commons-codec,42,GC_morder,0.018,0.004
commons-codec,default,fastest,0.346,0.394
commons-codec,default,GC_torder,0.244,0.589
commons-codec,default,GC_morder,0.068,0.065
commons-codec,fastest,GC_torder,0.001,0.002
commons-codec,fastest,GC_morder,0.000,0.002
commons-codec,GC_torder,GC_morder,0.111,0.180
empire-db,0,42,0.650,0.394
empire-db,0,default,0.484,0.240
empire-db,0,fastest,0.048,0.093
empire-db,0,GC_torder,0.453,1.000
empire-db,0,GC_morder,0.182,0.240
empire-db,42,default,0.750,0.699
empire-db,42,fastest,0.008,0.009
empire-db,42,GC_torder,0.304,0.485
empire-db,42,GC_morder,0.117,0.240
empire-db,default,fastest,0.009,0.015
empire-db,default,GC_torder,0.245,0.589
empire-db,default,GC_morder,0.096,0.180
empire-db,fastest,GC_torder,0.735,0.394
empire-db,fastest,GC_morder,0.632,0.589
empire-db,GC_torder,GC_morder,0.552,0.589
jimfs,0,42,0.736,0.485
jimfs,0,default,0.647,0.310
jimfs,0,fastest,0.064,0.240
jimfs,0,GC_torder,0.095,0.180
jimfs,0,GC_morder,0.056,0.093
jimfs,42,default,0.923,0.818
jimfs,42,fastest,0.182,0.589
jimfs,42,GC_torder,0.072,0.180
jimfs,42,GC_morder,0.043,0.065
jimfs,default,fastest,0.183,0.589
jimfs,default,GC_torder,0.061,0.180
jimfs,default,GC_morder,0.036,0.065
jimfs,fastest,GC_torder,0.014,0.002
jimfs,fastest,GC_morder,0.009,0.002
jimfs,GC_torder,GC_morder,0.750,0.818
