class,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
org.apache.empire.db.expr.compare.DBCompareAndOrExpr,57,2,59,54,12,6,5,5,6,6,5,1,14,10,12.67
org.apache.empire.db.expr.column.DBCountExpr,65,1,71,65,53,71,4,7,10,2,8,9,65,68,11.61
org.apache.empire.db.expr.column.DBAbstractFuncExpr,53,2,55,58,36,27,3,5,8,3,8,4,28,30,8.3
org.apache.empire.db.DBObject,924,856,129,93,111,91,111,121,111,87,886,994,95,89,7.2
org.apache.empire.db.expr.column.DBCoalesceExpr,50,22,54,53,26,23,17,4,3,2,3,8,29,26,7.07
org.apache.empire.db.DBRelation$DBReference,341,39,375,338,45,36,41,42,40,40,46,67,57,72,6.49
org.apache.empire.dbms.mysql.DBMSHandlerMySQL$DBSQLBuilderMySQL,59,4,65,59,32,31,7,7,7,7,5,4,36,37,6.45
org.apache.empire.db.DBIndex$DBIndexType,356,73,85,80,394,315,46,39,85,46,49,50,338,325,4.68
org.apache.empire.db.DBSQLScript,932,894,896,945,142,146,992,1012,116,960,126,143,125,124,4.29
org.apache.empire.dbms.derby.DerbyDDLGenerator,991,910,1093,994,1013,944,580,574,63,53,551,573,1263,982,3.71
org.apache.empire.db.expr.column.DBAliasExpr,53,2,63,53,48,51,31,24,17,17,18,28,68,69,3.62
org.apache.empire.exceptions.EmpireException,45,8,47,44,22,21,16,12,12,9,11,16,19,19,2.98
org.apache.empire.data.list.DataListEntry,66,15,75,73,42,44,12,17,14,14,21,15,43,45,2.97
org.apache.empire.db.DBTableColumn,2248,2505,890,2601,581,689,528,524,1961,2291,531,531,574,562,2.96
org.apache.empire.db.DBColumnExpr,812,444,554,806,546,525,163,154,488,153,193,210,554,553,2.74
org.apache.empire.xml.XMLUtil,60,8,63,62,38,34,24,18,28,19,12,19,41,35,2.71
org.apache.empire.db.DBRelation,307,53,349,315,278,267,67,66,85,64,302,264,319,273,2.45
org.apache.empire.commons.OptionEntry,460,374,460,439,366,387,118,101,91,101,152,177,481,460,2.41
org.apache.empire.dbms.hsql.DBCommandHSql,380,80,381,375,333,300,97,100,123,109,154,145,322,296,2.39
org.apache.empire.db.DBRecordData,524,157,501,545,485,444,165,147,228,154,204,182,510,542,2.11
org.apache.empire.db.DBTable,4419,2081,2957,2201,2551,2353,1575,1483,4420,2858,2276,2217,2417,2510,1.93
org.apache.empire.data.DataType,555,182,628,587,554,546,542,507,505,488,196,188,223,253,1.67
org.apache.empire.db.expr.set.DBSetExpr,1516,459,1540,557,612,625,1526,1631,1432,1450,1529,1661,807,780,1.67
org.apache.empire.db.DBSQLBuilder,1350,1311,1376,1371,1357,1118,503,323,1408,1904,535,474,1280,1027,1.65
org.apache.empire.db.context.DBContextBase,1907,1081,1762,1888,1620,1527,919,965,1018,1018,873,854,1345,1375,1.64
org.apache.empire.db.DBIndex,699,338,811,682,625,658,360,409,399,347,551,432,668,690,1.42
org.apache.empire.dbms.hsql.HSqlDDLGenerator,598,350,627,586,515,538,334,313,487,289,360,418,568,564,1.4
org.apache.empire.db.DBQuery,86,38,80,98,57,59,83,51,47,88,91,44,74,71,1.38
org.apache.empire.commons.Options,770,663,724,742,704,850,436,421,390,407,467,573,700,739,1.37
org.apache.empire.db.expr.compare.DBCompareColExpr,1077,613,1096,1030,595,542,1038,1049,776,1002,1348,978,689,625,1.33
org.apache.empire.db.DBDDLGenerator,5265,2018,7961,3133,5248,4832,3705,3904,6085,2732,4323,4055,5493,5003,1.32
org.apache.empire.db.DBColumn,2677,2520,3830,2742,1526,1562,1530,1588,2611,3323,2290,1685,1922,2126,1.3
org.apache.empire.dbms.sqlite.SQLiteDDLGenerator,187,43,199,193,187,193,158,170,167,152,205,172,243,250,1.26
org.apache.empire.db.DBRowSet,7474,5432,5311,6218,6817,6079,6473,6494,6637,5737,6736,4748,6837,6372,1.23
org.apache.empire.db.context.DBContextStatic,1894,972,2003,1851,2078,1935,1924,1815,1017,1912,1809,1814,1386,1489,1.19
org.apache.empire.db.DBReader,1493,1380,1522,1476,1449,1413,1065,937,984,1116,1119,1132,2008,1711,1.18
org.apache.empire.db.DBRecord,1859,1717,2595,1766,2023,1591,2394,2393,662,1248,2491,2444,1842,1621,1.11
org.apache.empire.db.DBCmdParamList,3761,2908,3702,3768,3619,3276,3301,3274,4873,3001,3235,3173,3318,3278,1.11
org.apache.empire.commons.DateUtils,81,35,94,78,72,81,137,83,94,52,81,97,92,77,1.08
org.apache.empire.dbms.hsql.DBMSHandlerHSql,508,303,514,591,483,462,531,549,654,554,356,374,534,530,1.07
org.apache.empire.commons.Attributes,466,468,195,461,317,212,930,737,407,633,670,646,684,724,1.06
org.apache.empire.db.DBCommandExpr,451,1238,812,412,360,353,397,381,322,405,419,397,457,491,1.04
org.apache.empire.db.DBCmdParam,1272,629,1515,1519,2190,1580,1242,1264,853,904,1347,1483,1586,1699,1.03
org.apache.empire.commons.ObjectUtils,2922,2943,2534,2867,2033,2198,3136,3599,3332,3488,2716,4291,2348,3564,1.02
org.apache.empire.dbms.derby.DBMSHandlerDerby,522,485,469,520,500,528,595,543,519,506,498,601,475,518,1.01
org.apache.empire.commons.ClassUtils,55,19,51,53,58,91,71,82,57,81,82,106,51,54,1.0
org.apache.empire.dbms.h2.H2DDLGenerator,4010,4007,4010,4010,4008,4008,4008,4008,4007,4008,4005,4005,4010,4009,1.0
org.apache.empire.dbms.h2.DBMSHandlerH2,149,118,149,155,134,139,168,170,159,160,157,149,194,189,0.97
org.apache.empire.db.DBCommand,6105,7555,6599,7982,6101,5813,5877,6625,5908,6911,5664,5634,6084,5852,0.97
org.apache.empire.db.DBUtils,1193,1208,1157,1234,1188,1156,1268,1419,1963,1412,1611,1356,1183,1225,0.91
org.apache.empire.dbms.DBMSHandlerBase,4679,4594,5336,4791,5003,6232,4780,4993,5111,6956,4922,4898,5181,4881,0.91
org.apache.empire.db.DBDatabase,3910,3750,4765,3967,5225,5603,5420,5096,3450,3711,4640,4419,4438,4378,0.88
org.apache.empire.commons.StringUtils,1778,1879,2136,2318,2920,3012,2601,1991,2661,3586,883,1120,3177,3168,0.86
org.apache.empire.db.DBRecordBase,3742,5164,4934,5781,4725,4887,4888,4736,7143,2539,4918,5124,4586,4717,0.8
org.apache.empire.dbms.sqlite.DBMSHandlerSQLite,858,635,1036,1102,1006,869,1225,1210,1263,980,1520,1165,1466,1307,0.79
org.apache.empire.dbms.mysql.DBMSHandlerMySQL,931,898,1722,1264,1368,1241,1869,1780,1406,1393,2768,2077,1842,1606,0.61
