class,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
org.zalando.riptide.SerializationPlugin$SerializingEntity,27,8,13,31,9,7,7,7,8,7,8,8,8,7,3.24
org.zalando.riptide.CharsetExtractor,62,11,40,50,25,26,23,21,20,23,26,24,23,22,2.71
org.zalando.riptide.Types,119,31,114,102,105,107,59,57,50,62,60,54,62,57,1.91
org.zalando.riptide.NoWildcardException,71,17,78,79,86,81,38,33,30,37,40,39,36,37,1.81
org.zalando.riptide.DefaultMessageReader,526,172,538,491,324,273,310,278,256,320,312,307,337,271,1.76
org.zalando.riptide.DefaultMessageWriter,247,118,271,251,185,185,114,113,113,118,123,119,146,148,1.75
org.zalando.riptide.ForwardingClientHttpResponse,54,7,54,55,31,30,56,51,51,59,60,48,38,28,1.74
org.zalando.riptide.Navigators,1305,537,1370,1417,979,943,761,779,797,783,690,633,1016,983,1.56
org.zalando.riptide.DispatchPlugin,3197,2206,2529,3249,2917,2564,1618,1649,1622,1618,1659,1713,2403,2442,1.56
org.zalando.riptide.RequestArguments,2746,1439,3081,3121,2901,2913,1509,1444,1404,1600,1370,1369,1731,1613,1.56
org.zalando.riptide.HttpResponseException,251,95,292,269,217,205,160,149,124,160,155,155,182,166,1.52
org.zalando.riptide.AsyncPlugin,5434,3589,5788,5797,3510,3105,3069,3055,3055,3067,3725,3840,4310,3076,1.51
org.zalando.riptide.PartialBinding,1793,814,2002,2075,1254,1374,1109,1129,1133,1094,1048,1017,1263,1389,1.49
org.zalando.riptide.Http,2651,1630,3048,2959,2992,3038,1556,1412,1433,1576,1409,1420,1900,1736,1.46
org.zalando.riptide.SerializationPlugin,2856,2819,2394,3308,3384,3295,1617,1626,1620,1651,1647,1643,1652,1618,1.44
org.zalando.riptide.Bindings,1334,584,1490,1566,1619,1439,791,835,818,819,751,775,939,942,1.44
org.zalando.riptide.Requester$ResponseDispatcher,2934,2074,3236,3277,3740,3285,1591,1584,1576,1786,1598,1590,2182,1974,1.43
org.zalando.riptide.GuardedRequestExecution,3149,2193,3595,3557,3515,3413,1736,1771,1731,1745,1750,1741,2386,2344,1.42
org.zalando.riptide.Plugin,11907,10251,12687,12567,8598,7999,7628,7612,7693,7680,7688,7680,7903,7784,1.41
org.zalando.riptide.OriginalStackTracePlugin,6774,6619,8318,8105,4854,4560,4489,4489,4479,4507,4582,4587,4555,4455,1.35
org.zalando.riptide.Requester,4792,3723,5240,5713,3877,4163,2996,2952,3066,3100,3035,3049,3941,4154,1.33
org.zalando.riptide.RoutingTree,1453,855,1674,1705,1097,1192,1014,1068,1112,1004,957,885,1110,1230,1.32
org.zalando.riptide.Binding,2528,1614,3021,3062,1820,2109,1651,1667,1743,1785,1856,1916,1826,2002,1.31
org.zalando.riptide.CompletableFutures,416,186,464,479,332,300,345,351,313,361,339,356,267,277,1.31
org.zalando.riptide.DispatchStage,2704,1625,3077,3039,2376,2088,1818,1831,1824,1879,1866,1864,2313,2598,1.3
org.zalando.riptide.ContentTypeNavigator,457,156,488,460,287,269,619,501,485,630,577,464,294,225,1.29
org.zalando.riptide.Route,1168,550,1090,1191,1213,1308,978,985,876,934,986,987,976,936,1.22
org.zalando.riptide.DefaultRequestArguments,5808,6303,5156,5208,4792,4823,4419,4349,4864,4385,4271,4445,4660,4831,1.22
org.zalando.riptide.CompositePlugin,16268,15176,18069,18114,13223,14088,12072,12106,12275,12187,12219,12272,13057,13596,1.21
org.zalando.riptide.DefaultHttpBuilder,37321,36474,36676,36246,29555,29876,29124,29248,29383,29290,29504,29456,29690,29862,1.21
org.zalando.riptide.UrlResolution$1,864,431,973,1022,882,848,719,789,785,724,715,722,703,726,1.17
org.zalando.riptide.DefaultRoutingTree,1248,885,1190,1263,1505,1418,977,1022,979,1011,865,895,1188,1289,1.16
org.zalando.riptide.DefaultHttp,5558,4122,5712,6106,3435,3547,5968,6214,6100,6466,6052,6191,3426,3552,1.16
org.zalando.riptide.UrlResolution$2,1408,711,1518,1503,1402,1286,1399,1408,1197,1491,1351,1440,1452,1197,1.1
org.zalando.riptide.PassRoute,5170,4711,5855,5929,5617,6042,5124,5001,4948,5148,4987,5067,5854,5799,0.97
