class,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
org.apache.hc.core5.ssl.SSLContexts,22,4,10,18,7,7,4,4,4,4,3,7,4,4,4.51
org.apache.hc.core5.http.nio.entity.DigestingEntityConsumer,38,6,37,35,34,27,8,12,10,9,11,12,10,11,3.14
org.apache.hc.core5.http.impl.IncomingEntityDetails,74,14,54,57,27,28,24,23,23,28,18,17,22,24,3.11
org.apache.hc.core5.reactor.IOWorkers,39,7,38,39,36,36,9,9,8,15,11,11,11,11,3.08
org.apache.hc.core5.http.io.entity.SerializableEntity,48,10,46,47,41,44,15,13,15,14,13,14,14,13,2.84
org.apache.hc.core5.http.message.HttpResponseWrapper,43,14,42,44,19,20,12,11,14,12,10,11,18,19,2.81
org.apache.hc.core5.http.EndpointDetails,40,13,43,44,38,23,13,10,10,17,8,9,14,23,2.71
org.apache.hc.core5.concurrent.ComplexCancellable,36,9,40,39,31,29,9,9,12,10,12,14,12,12,2.65
org.apache.hc.core5.reactor.ssl.SSLManagedBuffer$StaticBuffer,72,21,70,74,48,49,23,26,22,26,21,23,24,24,2.53
org.apache.hc.core5.reactor.AbstractIOSessionPool$1,47,12,49,49,32,32,17,19,16,18,15,14,17,17,2.43
org.apache.hc.core5.reactor.IOReactorConfig,75,19,102,78,46,44,25,29,25,28,27,35,25,25,2.4
org.apache.hc.core5.http.protocol.HttpDateGenerator,44,15,42,41,29,30,12,15,19,15,14,15,20,19,2.34
org.apache.hc.core5.http.nio.entity.AbstractBinAsyncEntityProducer$1,69,15,70,63,57,57,28,25,25,23,24,22,32,35,2.33
org.apache.hc.core5.http.protocol.RequestValidateHost,125,42,117,116,127,128,45,41,44,45,41,40,45,52,2.3
org.apache.hc.core5.reactor.IOReactorConfig$Builder,83,23,86,81,68,55,33,35,30,32,26,30,37,42,2.21
org.apache.hc.core5.util.ReflectionUtils,64,20,57,67,38,40,21,21,21,32,24,23,36,38,2.2
org.apache.hc.core5.http.ssl.TlsCiphers,90,38,95,93,69,74,32,35,36,30,30,35,36,32,2.2
