class,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
com.github.jknack.handlebars.helper.StringHelpers$1,38,1,38,37,10,6,7,8,10,8,29,31,13,14,5.93
com.github.jknack.handlebars.helper.StringHelpers$15,32,1,36,27,9,6,8,8,9,7,9,12,12,12,5.43
com.github.jknack.handlebars.helper.ConditionalHelpers$9,74,5,65,55,32,36,17,10,17,15,11,11,16,14,5.08
com.github.jknack.handlebars.helper.StringHelpers$9,30,1,34,35,11,6,9,8,7,9,7,8,14,20,5.07
com.github.jknack.handlebars.helper.ConditionalHelpers$2,79,9,70,72,22,16,17,14,13,17,13,14,20,14,4.76
com.github.jknack.handlebars.helper.StringHelpers$3,154,16,159,132,75,71,27,23,28,28,28,28,29,28,4.71
com.github.jknack.handlebars.helper.ConditionalHelpers$4,99,9,88,108,29,26,20,16,26,22,18,17,22,23,4.6
com.github.jknack.handlebars.helper.StringHelpers$16,31,2,41,31,7,6,9,9,10,7,10,8,7,8,4.35
com.github.jknack.handlebars.HandlebarsException,65,4,38,33,26,30,19,15,16,15,24,21,17,22,4.1
com.github.jknack.handlebars.io.AbstractTemplateSource,226,28,312,274,82,50,55,36,54,70,45,45,69,51,4.03
com.github.jknack.handlebars.helper.ConditionalHelpers$7,205,23,213,277,55,56,59,42,73,59,36,39,60,50,3.93
com.github.jknack.handlebars.helper.ConditionalHelpers$1,100,8,91,88,77,67,26,17,30,24,18,19,36,37,3.93
com.github.jknack.handlebars.helper.ConditionalHelpers$8,261,29,277,239,98,91,68,52,78,49,58,57,86,75,3.82
com.github.jknack.handlebars.helper.ConditionalHelpers$3,126,14,115,136,45,39,40,25,41,31,26,33,26,37,3.79
com.github.jknack.handlebars.helper.StringHelpers$2,55,3,51,46,27,13,17,16,16,21,21,17,28,29,3.79
com.github.jknack.handlebars.helper.ConditionalHelpers$5,72,8,82,100,99,71,16,15,18,15,14,13,17,19,3.78
com.github.jknack.handlebars.helper.StringHelpers$4,67,3,55,59,31,25,37,22,23,22,24,23,55,74,3.71
com.github.jknack.handlebars.helper.ConditionalHelpers,332,47,319,348,115,105,83,65,85,100,66,72,100,103,3.66
com.github.jknack.handlebars.internal.HbsParser$LiteralPathContext,54,7,73,63,52,41,12,11,20,11,10,11,16,13,3.58
com.github.jknack.handlebars.internal.BlockDecorator,738,111,732,750,255,233,198,145,225,223,154,189,224,199,3.52
com.github.jknack.handlebars.helper.StringHelpers$10,28,2,35,27,27,19,7,7,7,7,7,15,8,16,3.5
com.github.jknack.handlebars.io.ForwardingTemplateSource,85,6,86,70,49,46,26,23,25,24,24,28,30,51,3.46
com.github.jknack.handlebars.helper.ConditionalHelpers$6,76,9,103,102,39,34,23,16,23,23,17,16,22,23,3.44
com.github.jknack.handlebars.internal.HbsParser$BlockParamsContext,198,36,215,211,134,134,50,53,50,44,40,46,47,48,3.39
com.github.jknack.handlebars.helper.StringHelpers$7,51,4,44,48,21,13,18,17,15,20,16,16,17,33,3.39
com.github.jknack.handlebars.helper.StringHelpers$5,409,64,398,428,151,125,137,96,127,103,96,98,119,138,3.36
com.github.jknack.handlebars.helper.StringHelpers$14,54,4,52,48,24,20,20,15,15,17,18,22,20,31,3.35
com.github.jknack.handlebars.context.FieldValueResolver$FieldMember,131,23,124,155,50,47,40,26,41,36,25,34,44,56,3.27
com.github.jknack.handlebars.helper.StringHelpers$12,44,3,52,37,25,17,18,13,17,17,16,13,23,21,3.25
com.github.jknack.handlebars.helper.StringHelpers$6,52,4,47,52,25,27,18,16,22,17,14,22,19,28,3.18
com.github.jknack.handlebars.internal.HbsParser$ElseStmtChainContext,137,22,113,139,66,56,40,37,59,33,41,35,40,37,3.15
com.github.jknack.handlebars.Options$Builder,110,9,86,76,52,39,44,32,37,43,39,45,73,59,3.08
com.github.jknack.handlebars.helper.StringHelpers$13,46,4,57,39,17,13,16,18,19,19,17,19,22,21,3.03
com.github.jknack.handlebars.internal.VarDecorator,186,27,194,223,94,101,50,47,61,58,50,51,66,85,2.99
com.github.jknack.handlebars.helper.PartialHelper,539,78,640,528,528,354,164,141,161,213,126,138,170,168,2.99
com.github.jknack.handlebars.helper.StringHelpers$8,40,3,51,48,21,12,18,14,13,17,15,14,27,33,2.99
com.github.jknack.handlebars.Handlebars$SafeString,39,8,26,41,28,19,11,11,13,12,10,11,11,11,2.97
com.github.jknack.handlebars.internal.HbsParser$RawBlockContext,207,35,221,247,162,125,62,53,74,63,54,57,62,64,2.92
