class,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
org.apache.commons.codec.language.AbstractCaverphone,111,12,58,67,40,45,26,19,20,21,16,19,18,14,5.07
org.apache.commons.codec.digest.MurmurHash3$IncrementalHash32,57,11,60,51,22,25,18,20,21,20,11,12,19,21,3.03
org.apache.commons.codec.language.Caverphone1,107,35,127,113,130,144,23,32,22,25,27,30,27,33,2.95
org.apache.commons.codec.digest.MurmurHash2,1516,385,1761,1396,648,584,401,517,379,399,486,501,525,404,2.93
org.apache.commons.codec.binary.CharSequenceUtils,133,46,147,150,117,111,32,56,33,35,39,42,51,37,2.63
org.apache.commons.codec.language.Caverphone2,127,28,116,125,122,135,43,48,57,43,27,33,50,51,2.54
org.apache.commons.codec.net.QCodec,265,94,347,311,274,272,66,63,70,59,125,100,111,125,2.47
org.apache.commons.codec.language.RefinedSoundex,410,225,415,421,306,262,110,149,117,132,137,143,175,128,2.4
org.apache.commons.codec.net.PercentCodec,1007,354,1562,1220,1306,1132,343,418,354,389,377,426,558,359,2.03
org.apache.commons.codec.language.ColognePhonetic$CologneInputBuffer,300,112,318,268,183,194,136,168,149,152,125,104,163,118,1.97
org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,232,72,234,260,214,227,138,138,116,123,88,74,93,91,1.94
org.apache.commons.codec.digest.B64,3267,1643,1978,2137,1566,1553,1575,1575,1822,1819,1610,1508,1692,1664,1.94
org.apache.commons.codec.language.Nysiis,2543,812,3047,3286,2120,2102,1075,1169,999,1163,1161,1379,1359,1039,1.91
org.apache.commons.codec.language.Soundex,1717,691,1909,2053,1876,2074,699,778,677,689,764,769,950,740,1.87
org.apache.commons.codec.net.QuotedPrintableCodec,2322,1188,2136,2255,1534,1859,1002,1107,1154,1149,1173,1172,910,935,1.87
org.apache.commons.codec.language.ColognePhonetic$CologneOutputBuffer,272,98,259,304,308,284,144,151,142,139,117,97,125,106,1.85
org.apache.commons.codec.digest.PureJavaCrc32C,521,240,614,575,355,355,283,242,255,234,265,273,240,305,1.76
org.apache.commons.codec.net.BCodec,220,130,229,210,116,130,113,92,122,95,192,150,108,109,1.72
org.apache.commons.codec.language.bm.Languages$2,167,78,201,189,174,135,102,89,88,79,77,72,90,89,1.68
