class,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
com.google.common.jimfs.AbstractWatchService$Key,24363,63,24484,24394,24352,24349,24359,24347,24348,24364,24347,24346,24347,24348,30.67
com.google.common.jimfs.PollingWatchService,8081,21,8075,8084,8064,8070,8051,8054,8055,8051,8054,8062,8066,8067,30.53
com.google.common.jimfs.GlobToRegex$2,165,3,106,99,10,10,5,7,5,6,5,6,6,7,24.61
com.google.common.jimfs.FileSystemView$1,83,2,90,90,9,9,3,3,3,3,2,3,3,3,22.84
com.google.common.jimfs.PathNormalization$3,108,3,110,108,98,94,3,4,4,4,3,3,3,4,22.48
com.google.common.jimfs.Handler,128,2,130,125,40,37,4,4,3,5,5,4,21,26,21.04
com.google.common.jimfs.PathNormalization$2,102,3,114,115,69,66,3,4,3,3,4,5,3,4,20.9
com.google.common.jimfs.WatchServiceConfiguration,86,1,94,96,83,85,5,6,6,5,6,6,5,6,16.39
com.google.common.jimfs.JimfsSecureDirectoryStream$2,84,3,82,85,83,98,4,5,4,4,4,4,5,6,14.19
com.google.common.jimfs.AbstractAttributeView,102,9,118,111,10,12,5,4,5,5,5,5,7,11,14.09
com.google.common.jimfs.UserLookupService$NamedPrincipal,125,8,122,128,122,114,5,7,6,8,6,6,6,8,13.63
com.google.common.jimfs.PathNormalization$4,110,3,109,114,55,56,6,7,7,8,7,7,7,8,12.85
com.google.common.jimfs.OwnerAttributeProvider$View,139,9,124,129,43,42,9,9,9,9,6,9,7,10,12.18
com.google.common.jimfs.PosixAttributeProvider$Attributes,68,4,71,70,68,64,4,4,4,3,7,7,7,7,10.27
com.google.common.jimfs.DowngradedSeekableByteChannel,109,2,101,109,19,21,13,14,14,14,13,13,13,14,10.17
com.google.common.jimfs.DowngradedDirectoryStream,80,1,81,78,78,80,49,51,8,49,49,45,87,74,8.02
com.google.common.jimfs.PathNormalization$5,181,16,172,180,75,76,18,23,19,22,18,18,21,34,6.76
