clazz,method,methodDesc,indexes,mutator,test,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def
com.github.jknack.handlebars.internal.Partial,<init>,(Lcom/github/jknack/handlebars/Handlebars;Lcom/github/jknack/handlebars/Template;Ljava/lang/String;Ljava/util/Map;)V,[25],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,mustache.specs.SpecTests.[engine:junit-platform-suite]/[suite:mustache.specs.SpecTests]/[engine:junit-jupiter]/[class:mustache.specs.PartialsTest]/[test-template:partials(mustache.specs.Spec)]/[test-template-invocation:#1],KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.github.jknack.handlebars.internal.Partial,<init>,(Lcom/github/jknack/handlebars/Handlebars;Lcom/github/jknack/handlebars/Template;Ljava/lang/String;Ljava/util/Map;)V,[25],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,mustache.specs.PartialsTest.[engine:junit-jupiter]/[class:mustache.specs.PartialsTest]/[test-template:partials(mustache.specs.Spec)]/[test-template-invocation:#11],KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.github.jknack.handlebars.internal.Partial,<init>,(Lcom/github/jknack/handlebars/Handlebars;Lcom/github/jknack/handlebars/Template;Ljava/lang/String;Ljava/util/Map;)V,[25],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,mustache.specs.PartialsTest.[engine:junit-jupiter]/[class:mustache.specs.PartialsTest]/[test-template:partials(mustache.specs.Spec)]/[test-template-invocation:#1],KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.github.jknack.handlebars.internal.Partial,<init>,(Lcom/github/jknack/handlebars/Handlebars;Lcom/github/jknack/handlebars/Template;Ljava/lang/String;Ljava/util/Map;)V,[25],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,mustache.specs.SpecTests.[engine:junit-platform-suite]/[suite:mustache.specs.SpecTests]/[engine:junit-jupiter]/[class:mustache.specs.PartialsTest]/[test-template:partials(mustache.specs.Spec)]/[test-template-invocation:#11],KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.github.jknack.handlebars.internal.Partial,<init>,(Lcom/github/jknack/handlebars/Handlebars;Lcom/github/jknack/handlebars/Template;Ljava/lang/String;Ljava/util/Map;)V,[25],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,mustache.specs.SpecTests.[engine:junit-platform-suite]/[suite:mustache.specs.SpecTests]/[engine:junit-jupiter]/[class:mustache.specs.PartialsTest]/[test-template:partials(mustache.specs.Spec)]/[test-template-invocation:#5],KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.github.jknack.handlebars.internal.Partial,<init>,(Lcom/github/jknack/handlebars/Handlebars;Lcom/github/jknack/handlebars/Template;Ljava/lang/String;Ljava/util/Map;)V,[25],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,mustache.specs.PartialsTest.[engine:junit-jupiter]/[class:mustache.specs.PartialsTest]/[test-template:partials(mustache.specs.Spec)]/[test-template-invocation:#5],KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.github.jknack.handlebars.internal.Partial,<init>,(Lcom/github/jknack/handlebars/Handlebars;Lcom/github/jknack/handlebars/Template;Ljava/lang/String;Ljava/util/Map;)V,[25],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.jknack.handlebars.i835.Issue835.[engine:junit-jupiter]/[class:com.github.jknack.handlebars.i835.Issue835]/[method:shouldIgnoreZeroSizeFileTemplate()],KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.github.jknack.handlebars.internal.Partial,<init>,(Lcom/github/jknack/handlebars/Handlebars;Lcom/github/jknack/handlebars/Template;Ljava/lang/String;Ljava/util/Map;)V,[25],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.jknack.handlebars.PartialBlockTest.[engine:junit-jupiter]/[class:com.github.jknack.handlebars.PartialBlockTest]/[method:shouldRenderPartialBlockAsDefault()],KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.github.jknack.handlebars.internal.Partial,<init>,(Lcom/github/jknack/handlebars/Handlebars;Lcom/github/jknack/handlebars/Template;Ljava/lang/String;Ljava/util/Map;)V,[25],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.jknack.handlebars.issues.Issue634.[engine:junit-jupiter]/[class:com.github.jknack.handlebars.issues.Issue634]/[method:shouldThrowHandlebarsExceptionWhenPartialBlockIsMissing()],KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.github.jknack.handlebars.internal.Partial,<init>,(Lcom/github/jknack/handlebars/Handlebars;Lcom/github/jknack/handlebars/Template;Ljava/lang/String;Ljava/util/Map;)V,[25],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,mustache.specs.SpecTests.[engine:junit-platform-suite]/[suite:mustache.specs.SpecTests]/[engine:junit-jupiter]/[class:mustache.specs.PartialsTest]/[test-template:partials(mustache.specs.Spec)]/[test-template-invocation:#7],KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
