seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,940,938,939,938,938,938,938.50,1.00,1.0000,1.0000
single-group,911,911,911,911,911,911,911.00,0.97,0.0000,0.0023
single-group_errors-at-the-end,911,911,912,912,913,912,911.83,0.97,0.0000,0.0040
