seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,2416,2417,2421,2412,2410,2419,2415.83,1.00,1.0000,1.0000
single-group,2741,2734,2735,2730,2723,2735,2733.00,1.13,0.0000,0.0050
single-group_errors-at-the-end,3253,3233,3259,3242,3246,3237,3245.00,1.34,0.0000,0.0022
