seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,1996,2011,1963,2001,1982,1776,1954.83,1.00,1.0000,1.0000
single-group,1602,1610,1651,1613,1614,1605,1615.83,0.83,0.0000,0.0022
single-group_errors-at-the-end,1287,1303,1340,1352,1269,1294,1307.50,0.67,0.0000,0.0022
single-group_random-42,1584,1570,1574,1585,1569,1549,1571.83,0.80,0.0000,0.0022
single-group_random-43,1562,1555,1552,1563,1565,1559,1559.33,0.80,0.0000,0.0022
single-group_random-44,1555,1573,1562,1558,1550,1574,1562.00,0.80,0.0000,0.0022
single-group_random-45,1618,1624,1611,1614,1607,1612,1614.33,0.83,0.0000,0.0022
single-group_random-46,1520,1520,1572,1564,1527,1509,1535.33,0.79,0.0000,0.0050
