strategy,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,8541,11213,11171,9199,8070,10504,9783.00,1.0000,1.0000,1.0000
single-group,1509,1511,1504,1481,1502,1508,1502.50,0.1536,0.0000,0.0022
single-group_errors-at-the-end,1373,1365,1379,1363,1339,1361,1363.33,0.1394,0.0000,0.0022
double,10962,8284,8181,8828,8161,8362,8796.33,0.8991,0.1963,0.2403
