seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,220468,221158,222024,221954,221358,221657,221436.50,1.0000,1.0000,1.0000
single-group,227378,215864,215376,214941,215759,215503,217470.17,0.9821,0.0755,0.0649
single-group_random-42,220311,221014,220553,219886,220742,220438,220490.67,0.9957,0.0077,0.0152
single-group_random-43,221702,220619,219747,220924,220911,219350,220542.17,0.9960,0.0606,0.0931
single-group_random-44,218123,220252,218084,220259,217136,219220,218845.67,0.9883,0.0011,0.0022
single-group_random-45,219717,219000,219084,219524,217406,220117,219141.33,0.9896,0.0005,0.0022
single-group_random-46,220600,220578,220404,218696,219973,220517,220128.00,0.9941,0.0066,0.0152
