seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,143850,147783,148484,147377,146615,139984,145682.17,1.0000
single-group,172230,161997,158075,159327,163903,161476,162834.67,1.1177
single-group_random-42,165498,165438,80887,164707,165099,165089,151119.67,1.0373
single-group_random-43,167516,163131,164015,122157,131394,170650,153143.83,1.0512
single-group_random-44,161993,166530,162888,141664,139069,88152,143382.67,0.9842
single-group_random-45,159712,154629,156464,152965,162263,153779,156635.33,1.0752
single-group_random-46,116757,127877,159165,159972,160803,162201,147795.83,1.0145
