strategy,0-stable_pairs,0-stable_ratio,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-complement,1-stable_pairs,1-stable_ratio,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-complement,2-stable_pairs,2-stable_ratio,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-complement,3-stable_pairs,3-stable_ratio,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-complement,4-stable_pairs,4-stable_ratio,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-complement,5-stable_pairs,5-stable_ratio,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,7705,0.1223,14991,0.2380,3786,0.0601,63000,7748,0.1230,18043,0.2864,3767,0.0598,63000,8148,0.1293,15458,0.2454,3830,0.0608,63000,7834,0.1243,12135,0.1926,3821,0.0607,63000,7808,0.1239,12098,0.1920,3864,0.0613,63000,8051,0.1278,18385,0.2918,3821,0.0607,63000,63000.00,1.0000,1.0000,1.0000
single-group,1388,0.0534,8212,0.3158,8778,0.3376,26000,1392,0.0535,11201,0.4308,8733,0.3359,26000,1381,0.0531,8187,0.3149,8887,0.3418,26000,1373,0.0528,11210,0.4312,8750,0.3365,26000,1381,0.0531,8215,0.3160,8684,0.3340,26000,1369,0.0527,5167,0.1987,8686,0.3341,26000,26000.00,0.4127,0.0000,0.0013
single-group_errors-at-the-end,1319,0.0507,8052,0.3097,8982,0.3455,26000,1311,0.0504,11068,0.4257,8919,0.3430,26000,1322,0.0508,8072,0.3105,9027,0.3472,26000,1309,0.0503,11068,0.4257,8940,0.3438,26000,1284,0.0494,11040,0.4246,8774,0.3375,26000,1305,0.0502,8035,0.3090,9081,0.3493,26000,26000.00,0.4127,0.0000,0.0013
by-proportions,1406,0.0562,8103,0.3241,7889,0.3156,25000,1427,0.0571,8123,0.3249,7901,0.3160,25000,1416,0.0566,8097,0.3239,7910,0.3164,25000,1384,0.0577,11099,0.4625,7707,0.3211,24000,1409,0.0587,8108,0.3378,7648,0.3187,24000,1423,0.0593,11168,0.4653,7663,0.3193,24000,24500.00,0.3889,0.0000,0.0024
double,9735,0.1475,21603,0.3273,4176,0.0633,66000,8107,0.1287,18749,0.2976,4057,0.0644,63000,7968,0.1265,12587,0.1998,3953,0.0627,63000,8473,0.1324,16298,0.2547,3965,0.0620,64000,7983,0.1267,18590,0.2951,3924,0.0623,63000,8299,0.1317,15793,0.2507,3935,0.0625,63000,63666.67,1.0106,0.2073,0.1757
