strategy,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,59317,59257,58932,59197,59177,59041,59153.50,1.0000,1.0000,1.0000
single-group,53243,53091,52499,52350,52642,52512,52722.83,0.8913,0.0000,0.0022
single-group_errors-at-the-end,42748,42077,42111,41946,39842,42311,41839.17,0.7073,0.0000,0.0022
by-proportions,53831,53223,53303,53305,52064,53168,53149.00,0.8985,0.0000,0.0022
