seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,65365,64300,57843,64630,75166,65917,65536.83,1.0000,1.0000,1.0000
single-group,57058,54648,50306,55315,64910,56454,56448.50,0.8613,0.0125,0.0152
single-group_random-42,52511,52103,52690,52358,52791,52396,52474.83,0.8007,0.0002,0.0022
single-group_random-43,55225,55109,55240,55299,55663,55187,55287.17,0.8436,0.0011,0.0022
single-group_random-44,47484,47068,47489,47553,47233,47144,47328.50,0.7222,0.0000,0.0022
single-group_random-45,49507,48744,48575,48486,48517,48663,48748.67,0.7438,0.0000,0.0022
single-group_random-46,50593,52671,52467,51536,52891,52715,52145.50,0.7957,0.0002,0.0022
