strategy,0-stable_num,0-stable_pairs,0-stable_ratio,0-OK_num,0-OK_mutants,0-OK_ratio,0-all_num,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-others,0-others_ratio,0-start2end-end2end,0-start2end-end2end_ratio,0-complement,1-stable_num,1-stable_pairs,1-stable_ratio,1-OK_num,1-OK_mutants,1-OK_ratio,1-all_num,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-others,1-others_ratio,1-start2end-end2end,1-start2end-end2end_ratio,1-complement,2-stable_num,2-stable_pairs,2-stable_ratio,2-OK_num,2-OK_mutants,2-OK_ratio,2-all_num,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-others,2-others_ratio,2-start2end-end2end,2-start2end-end2end_ratio,2-complement,3-stable_num,3-stable_pairs,3-stable_ratio,3-OK_num,3-OK_mutants,3-OK_ratio,3-all_num,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-others,3-others_ratio,3-start2end-end2end,3-start2end-end2end_ratio,3-complement,4-stable_num,4-stable_pairs,4-stable_ratio,4-OK_num,4-OK_mutants,4-OK_ratio,4-all_num,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-others,4-others_ratio,4-start2end-end2end,4-start2end-end2end_ratio,4-complement,5-stable_num,5-stable_pairs,5-stable_ratio,5-OK_num,5-OK_mutants,5-OK_ratio,5-all_num,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-others,5-others_ratio,5-start2end-end2end,5-start2end-end2end_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,367433,1221814,0.3268,8044,2091401,0.5593,8224,2562758,0.6854,214962,0.0575,3515814,0.9403,3696367.55,0.9886,3739000,367433,1188511,0.3246,8037,2072074,0.5660,8217,2502214,0.6835,207423,0.0567,3445360,0.9411,3618863.4,0.9885,3661000,367433,1211936,0.3299,8023,2064057,0.5618,8206,2492134,0.6783,217456,0.0592,3448338,0.9386,3630304.82,0.9881,3674000,367433,1198091,0.3285,8028,2074430,0.5688,8207,2517216,0.6902,211378,0.0580,3427415,0.9398,3602633.88,0.9878,3647000,367433,1195096,0.3175,8030,2194548,0.5830,8210,2617420,0.6954,211871,0.0563,3543919,0.9415,3719800.69,0.9883,3764000,367433,1176168,0.3253,8024,2044999,0.5655,8204,2485911,0.6875,208917,0.0578,3398879,0.9400,3574143.94,0.9884,3616000,3683500.00,1.0000,1.0000,1.0000
single-group,367433,1123439,0.1693,8049,2108245,0.3177,8226,2604181,0.3924,458881,0.0691,6169893,0.9296,6587279.46,0.9925,6637000,367433,1111715,0.1698,8049,2082841,0.3180,8226,2592191,0.3958,461162,0.0704,6079612,0.9283,6499642.35,0.9925,6549000,367433,1117004,0.1679,8048,2186820,0.3287,8226,2719176,0.4088,446058,0.0671,6197716,0.9317,6600852.28,0.9923,6652000,367433,1240106,0.1931,8049,2124865,0.3309,8226,2593536,0.4039,424868,0.0662,5988906,0.9326,6366822.84,0.9914,6422000,367433,1174343,0.1873,8049,2056373,0.3280,8226,2587354,0.4127,405916,0.0647,5855858,0.9339,6226390.39,0.9930,6270000,367433,1240422,0.1970,8049,2109949,0.3351,8226,2589968,0.4113,401373,0.0637,5887401,0.9350,6253141.33,0.9930,6297000,6471166.67,1.7568,0.0000,0.0022
