strategy,0-stable_num,0-stable_pairs,0-stable_ratio,0-OK_num,0-OK_mutants,0-OK_ratio,0-all_num,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-others,0-others_ratio,0-start2end-end2end,0-start2end-end2end_ratio,0-complement,1-stable_num,1-stable_pairs,1-stable_ratio,1-OK_num,1-OK_mutants,1-OK_ratio,1-all_num,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-others,1-others_ratio,1-start2end-end2end,1-start2end-end2end_ratio,1-complement,2-stable_num,2-stable_pairs,2-stable_ratio,2-OK_num,2-OK_mutants,2-OK_ratio,2-all_num,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-others,2-others_ratio,2-start2end-end2end,2-start2end-end2end_ratio,2-complement,3-stable_num,3-stable_pairs,3-stable_ratio,3-OK_num,3-OK_mutants,3-OK_ratio,3-all_num,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-others,3-others_ratio,3-start2end-end2end,3-start2end-end2end_ratio,3-complement,4-stable_num,4-stable_pairs,4-stable_ratio,4-OK_num,4-OK_mutants,4-OK_ratio,4-all_num,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-others,4-others_ratio,4-start2end-end2end,4-start2end-end2end_ratio,4-complement,5-stable_num,5-stable_pairs,5-stable_ratio,5-OK_num,5-OK_mutants,5-OK_ratio,5-all_num,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-others,5-others_ratio,5-start2end-end2end,5-start2end-end2end_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,25319,873783,0.9286,770,890344,0.9462,770,890344,0.9462,28859,0.0307,911371,0.9685,935106.64,0.9937,941000,25319,873906,0.9297,770,890410,0.9472,770,890410,0.9472,27789,0.0296,911441,0.9696,934316.45,0.9940,940000,25319,873574,0.9293,770,889985,0.9468,770,889985,0.9468,28249,0.0301,910981,0.9691,934190.91,0.9938,940000,25319,874339,0.9301,770,890786,0.9476,770,890786,0.9476,27989,0.0298,911241,0.9694,934702.0,0.9944,940000,25319,873160,0.9299,770,889541,0.9473,770,889541,0.9473,28323,0.0302,909907,0.9690,933575.47,0.9942,939000,25319,873696,0.9305,770,890005,0.9478,770,890005,0.9478,28142,0.0300,910088,0.9692,933485.33,0.9941,939000,939833.33,1.0000,1.0000,1.0000
single-group,25319,835718,0.9154,770,857171,0.9389,770,857171,0.9389,43779,0.0480,868451,0.9512,907573.52,0.9941,913000,25319,835520,0.9161,770,856931,0.9396,770,856931,0.9396,43541,0.0477,867689,0.9514,906914.79,0.9944,912000,25319,835947,0.9136,770,857307,0.9369,770,857307,0.9369,45252,0.0495,868978,0.9497,909205.97,0.9937,915000,25319,835126,0.9167,770,856405,0.9401,770,856405,0.9401,42874,0.0471,867356,0.9521,905581.99,0.9941,911000,25319,835785,0.9154,770,857199,0.9389,770,857199,0.9389,44081,0.0483,868149,0.9509,907738.32,0.9942,913000,25319,835349,0.9160,770,856631,0.9393,770,856631,0.9393,44091,0.0483,867139,0.9508,906804.71,0.9943,912000,912666.67,0.9711,0.0000,0.0046
