seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,1099148,1098413,1083625,1104513,1097867,1006315,1081646.83,1.0000
single-group,1131564,1125009,1184192,1144782,1145346,1148437,1146555.00,1.0600
single-group_random-42,1079879,1074978,1077757,1078569,1062270,1051287,1070790.00,0.9900
single-group_random-43,1053206,1057121,1053072,1050957,1060292,1063622,1056378.33,0.9766
single-group_random-44,1054775,1083133,1063470,1068225,1053269,1074729,1066266.83,0.9858
single-group_random-45,1112835,1137969,1117482,1123761,1111798,1125568,1121568.83,1.0369
single-group_random-46,1046385,1051154,1041309,1037551,1048321,1034394,1043185.67,0.9644
