strategy,0-stable_pairs,0-stable_ratio,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-complement,1-stable_pairs,1-stable_ratio,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-complement,2-stable_pairs,2-stable_ratio,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-complement,3-stable_pairs,3-stable_ratio,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-complement,4-stable_pairs,4-stable_ratio,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-complement,5-stable_pairs,5-stable_ratio,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,555443,0.2299,894402,0.3702,820080,0.3394,2416000,557139,0.2305,889914,0.3682,822166,0.3402,2417000,557947,0.2305,869779,0.3593,821749,0.3394,2421000,556113,0.2306,906722,0.3759,818353,0.3393,2412000,556121,0.2308,897836,0.3725,819122,0.3399,2410000,556176,0.2299,900771,0.3724,821340,0.3395,2419000,2415833.33,1.0000,1.0000,1.0000
single-group,435572,0.1589,841511,0.3070,1446729,0.5278,2741000,437111,0.1599,846148,0.3095,1428849,0.5226,2734000,435948,0.1594,819294,0.2996,1440433,0.5267,2735000,435008,0.1593,829149,0.3037,1439217,0.5272,2730000,436563,0.1603,855114,0.3140,1420977,0.5218,2723000,435710,0.1593,839768,0.3070,1439260,0.5262,2735000,2733000.00,1.1313,0.0000,0.0050
single-group_errors-at-the-end,394523,0.1213,654669,0.2013,2079668,0.6393,3253000,390863,0.1209,660480,0.2043,2066738,0.6393,3233000,396912,0.1218,662787,0.2034,2083135,0.6392,3259000,389111,0.1200,656385,0.2025,2076140,0.6404,3242000,396623,0.1222,680699,0.2097,2067118,0.6368,3246000,394740,0.1219,669653,0.2069,2067803,0.6388,3237000,3245000.00,1.3432,0.0000,0.0022
by-proportions,470482,0.1814,860642,0.3319,1318615,0.5085,2593000,479975,0.1843,882776,0.3389,1320713,0.5070,2605000,476659,0.1836,866455,0.3338,1313583,0.5060,2596000,481789,0.1856,883448,0.3403,1312092,0.5054,2596000,474123,0.1828,867955,0.3347,1315681,0.5074,2593000,478921,0.1846,882924,0.3404,1312321,0.5059,2594000,2596166.67,1.0746,0.0000,0.0049
double,564544,0.2337,956247,0.3958,823159,0.3407,2416000,564318,0.2337,958485,0.3969,823952,0.3412,2415000,564698,0.2342,970125,0.4024,819423,0.3399,2411000,562907,0.2332,974393,0.4036,823170,0.3410,2414000,564361,0.2340,959603,0.3978,822871,0.3412,2412000,564095,0.2337,944871,0.3914,823067,0.3410,2414000,2413666.67,0.9991,0.2719,0.2954
