strategy,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,219122,213239,201312,212119,243330,217979,217850.17,1.0000,1.0000,1.0000
single-group,230949,222109,213767,223339,257610,229279,229508.83,1.0535,0.1947,0.0931
single-group_errors-at-the-end,191899,188376,188192,187576,186446,186380,188144.83,0.8636,0.0004,0.0022
by-proportions,177490,177503,176883,178246,176293,177215,177271.67,0.8137,0.0000,0.0022
