strategy,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,605728,602811,598109,606308,600909,606552,603402.83,1.0000,1.0000,1.0000
single-group,500920,502608,499520,504732,510020,474987,498797.83,0.8266,0.0000,0.0022
single-group_errors-at-the-end,394522,390863,396912,389108,396622,394739,393794.33,0.6526,0.0000,0.0022
double,564549,564325,564704,562913,564365,564099,564159.17,0.9350,0.0000,0.0022
