seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,134813,138816,139471,138289,137514,130933,136639.33,1.0000,1.0000,1.0000
single-group,155801,143215,143895,145013,149887,147257,147511.33,1.0796,0.0009,0.0022
single-group_random-42,151236,151362,67369,150534,150918,150843,137043.67,1.0030,0.9775,0.0649
single-group_random-43,153533,149207,149932,108673,117706,156571,139270.33,1.0193,0.7633,0.3939
single-group_random-44,147917,152526,148817,127755,124989,74503,129417.83,0.9471,0.5617,1.0000
single-group_random-45,145930,141024,142909,139462,148519,140113,142992.83,1.0465,0.0090,0.0043
single-group_random-46,103381,114281,145638,145996,146901,148531,134121.33,0.9816,0.7661,0.3939
