strategy,0-stable_pairs,0-stable_ratio,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-complement,1-stable_pairs,1-stable_ratio,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-complement,2-stable_pairs,2-stable_ratio,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-complement,3-stable_pairs,3-stable_ratio,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-complement,4-stable_pairs,4-stable_ratio,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-complement,5-stable_pairs,5-stable_ratio,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,76181,0.3511,148042,0.6822,26067,0.1201,217000,76091,0.3490,145181,0.6660,26129,0.1199,218000,75038,0.3474,146780,0.6795,25580,0.1184,216000,74796,0.3463,146592,0.6787,25698,0.1190,216000,74459,0.3463,148911,0.6926,25576,0.1190,215000,76438,0.3490,145485,0.6643,26108,0.1192,219000,216833.33,1.0000,1.0000,1.0000
single-group,76510,0.3356,148010,0.6492,39926,0.1751,228000,80330,0.3389,151616,0.6397,39699,0.1675,237000,75259,0.3230,146419,0.6284,39746,0.1706,233000,75310,0.3392,144238,0.6497,39102,0.1761,222000,73269,0.3330,141026,0.6410,37757,0.1716,220000,81422,0.3379,152951,0.6347,39287,0.1630,241000,230166.67,1.0615,0.0032,0.0050
single-group_errors-at-the-end,45160,0.2595,114023,0.6553,33805,0.1943,174000,46442,0.2654,106235,0.6071,34161,0.1952,175000,43627,0.2536,106651,0.6201,33277,0.1935,172000,48009,0.2743,114954,0.6569,34110,0.1949,175000,46956,0.2714,104878,0.6062,33724,0.1949,173000,43444,0.2497,110351,0.6342,34042,0.1956,174000,173833.33,0.8017,0.0000,0.0048
by-proportions,59381,0.3093,123993,0.6458,35476,0.1848,192000,60565,0.3028,134082,0.6704,36161,0.1808,200000,60309,0.3031,135726,0.6820,36054,0.1812,199000,59948,0.3139,126227,0.6609,35310,0.1849,191000,59625,0.3073,128695,0.6634,35389,0.1824,194000,60197,0.3010,132100,0.6605,35253,0.1763,200000,196000.00,0.9039,0.0000,0.0049
double,78983,0.3479,149446,0.6584,29630,0.1305,227000,81205,0.3531,151612,0.6592,30145,0.1311,230000,72202,0.3312,137002,0.6284,29036,0.1332,218000,85158,0.3671,154392,0.6655,29914,0.1289,232000,84933,0.3661,157022,0.6768,29984,0.1292,232000,84049,0.3654,153069,0.6655,29788,0.1295,230000,228166.67,1.0523,0.0005,0.0099
