strategy,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,246101,254283,251989,253934,258055,252805,252861.17,1.0000,1.0000,1.0000
single-group,242088,245317,238210,256350,228617,270023,246767.50,0.9759,0.3454,0.3095
single-group_errors-at-the-end,175171,165309,166685,179853,166864,175974,171642.67,0.6788,0.0000,0.0022
by-proportions,241576,244599,246297,245582,244268,244739,244510.17,0.9670,0.0007,0.0043
double,276142,274636,273039,274972,274878,274937,274767.33,1.0866,0.0000,0.0022
