project,seed1,seed2,T-test,U-test
delight-nashorn-sandbox,single-group_random-44,single-group_random-46,0.8988,1.0000
delight-nashorn-sandbox,single-group_random-45,single-group_random-46,0.1775,0.0649
empire-db,single-group,single-group_random-42,0.0694,0.0649
empire-db,single-group,single-group_random-43,0.5653,0.4848
empire-db,single-group,single-group_random-44,0.0009,0.0022
empire-db,single-group,single-group_random-45,0.0028,0.0022
empire-db,single-group,single-group_random-46,0.0554,0.0649
empire-db,single-group_random-42,single-group_random-43,0.0000,0.0022
empire-db,single-group_random-42,single-group_random-44,0.0000,0.0022
empire-db,single-group_random-42,single-group_random-45,0.0000,0.0022
empire-db,single-group_random-42,single-group_random-46,0.4072,1.0000
empire-db,single-group_random-43,single-group_random-44,0.0000,0.0022
empire-db,single-group_random-43,single-group_random-45,0.0000,0.0022
empire-db,single-group_random-43,single-group_random-46,0.0000,0.0022
empire-db,single-group_random-44,single-group_random-45,0.0000,0.0022
empire-db,single-group_random-44,single-group_random-46,0.0000,0.0022
empire-db,single-group_random-45,single-group_random-46,0.0000,0.0022
jimfs,single-group,single-group_random-42,0.1604,0.0649
jimfs,single-group,single-group_random-43,0.1587,0.0649
jimfs,single-group,single-group_random-44,0.5181,0.0649
jimfs,single-group,single-group_random-45,0.4281,0.0649
jimfs,single-group,single-group_random-46,0.2152,0.0649
jimfs,single-group_random-42,single-group_random-43,0.8960,0.8182
jimfs,single-group_random-42,single-group_random-44,0.0128,0.0087
jimfs,single-group_random-42,single-group_random-45,0.0089,0.0043
jimfs,single-group_random-42,single-group_random-46,0.3113,0.5887
jimfs,single-group_random-43,single-group_random-44,0.0222,0.0260
jimfs,single-group_random-43,single-group_random-45,0.0228,0.0260
jimfs,single-group_random-43,single-group_random-46,0.3915,0.2403
jimfs,single-group_random-44,single-group_random-45,0.6580,0.9372
jimfs,single-group_random-44,single-group_random-46,0.0590,0.0411
jimfs,single-group_random-45,single-group_random-46,0.0716,0.0649
handlebars.java,single-group,single-group_random-42,0.0002,0.0022
handlebars.java,single-group,single-group_random-43,0.0000,0.0022
handlebars.java,single-group,single-group_random-44,0.0001,0.0022
handlebars.java,single-group,single-group_random-45,0.6623,0.3939
handlebars.java,single-group,single-group_random-46,0.0000,0.0022
handlebars.java,single-group_random-42,single-group_random-43,0.0646,0.0931
handlebars.java,single-group_random-42,single-group_random-44,0.2422,0.3095
handlebars.java,single-group_random-42,single-group_random-45,0.0000,0.0022
handlebars.java,single-group_random-42,single-group_random-46,0.0485,0.0411
handlebars.java,single-group_random-43,single-group_random-44,0.8273,0.9372
handlebars.java,single-group_random-43,single-group_random-45,0.0000,0.0022
handlebars.java,single-group_random-43,single-group_random-46,0.5296,0.6991
handlebars.java,single-group_random-44,single-group_random-45,0.0000,0.0022
handlebars.java,single-group_random-44,single-group_random-46,0.5430,0.5887
handlebars.java,single-group_random-45,single-group_random-46,0.0000,0.0022
riptide,single-group,single-group_random-42,0.4740,0.3095
riptide,single-group,single-group_random-43,0.3615,0.8182
riptide,single-group,single-group_random-44,0.1662,0.4848
riptide,single-group,single-group_random-45,0.0917,0.0931
riptide,single-group,single-group_random-46,0.1402,0.4848
riptide,single-group_random-42,single-group_random-43,0.8939,0.8182
riptide,single-group_random-42,single-group_random-44,0.6867,0.3095
riptide,single-group_random-42,single-group_random-45,0.6801,0.0649
riptide,single-group_random-42,single-group_random-46,0.8599,0.0649
riptide,single-group_random-43,single-group_random-44,0.5155,0.3939
riptide,single-group_random-43,single-group_random-45,0.6716,0.3939
riptide,single-group_random-43,single-group_random-46,0.6690,0.1797
riptide,single-group_random-44,single-group_random-45,0.2861,0.9372
riptide,single-group_random-44,single-group_random-46,0.7517,0.6991
riptide,single-group_random-45,single-group_random-46,0.3081,0.8182
