seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,76223,76126,75083,74841,74498,76471,75540.33,1.0000
single-group,76497,80341,75272,75364,73302,81408,77030.67,1.0197
single-group_random-42,55427,57851,55902,54784,56815,56180,56159.83,0.7434
single-group_random-43,56708,57130,56719,56114,58515,58127,57218.83,0.7575
single-group_random-44,51867,52670,52359,54245,54352,56244,53622.83,0.7099
single-group_random-45,55642,57898,57566,60578,56161,59751,57932.67,0.7669
single-group_random-46,52960,55254,54791,52662,52790,55041,53916.33,0.7137
