seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,744659,758738,772400,706860,787351,733437,750574.17,1.0000,1.0000,1.0000
single-group,802050,801538,800948,657666,640507,631974,722447.17,0.9625,0.4695,1.0000
single-group_random-42,765777,774881,753711,798179,760183,742081,765802.00,1.0203,0.3071,0.3939
single-group_random-43,763411,752585,733828,722473,744013,735507,741969.50,0.9885,0.5281,0.5887
single-group_random-44,761839,734754,759060,743641,740397,732963,745442.33,0.9932,0.6961,0.6991
single-group_random-45,713218,774864,765712,786110,761628,760673,760367.50,1.0130,0.5431,0.4848
single-group_random-46,736691,730865,749597,754818,747074,748750,744632.50,0.9921,0.6395,0.6991
