strategy,0-stable_pairs,0-stable_ratio,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-others,0-others_ratio,0-complement,1-stable_pairs,1-stable_ratio,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-others,1-others_ratio,1-complement,2-stable_pairs,2-stable_ratio,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-others,2-others_ratio,2-complement,3-stable_pairs,3-stable_ratio,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-others,3-others_ratio,3-complement,4-stable_pairs,4-stable_ratio,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-others,4-others_ratio,4-complement,5-stable_pairs,5-stable_ratio,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-others,5-others_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,49166,0.2716,122282,0.6756,10910,0.0603,47808,0.2641,181000,49200,0.2718,122546,0.6770,10801,0.0597,47653,0.2633,181000,49061,0.2711,118936,0.6571,10609,0.0586,51455,0.2843,181000,49231,0.2720,113024,0.6244,10721,0.0592,57255,0.3163,181000,49131,0.2714,122332,0.6759,10787,0.0596,47881,0.2645,181000,49186,0.2717,131784,0.7281,10626,0.0587,38590,0.2132,181000,181000.00,1.0000,1.0000,1.0000
single-group,42058,0.2431,118257,0.6836,12047,0.0696,42696,0.2468,173000,41997,0.2428,115196,0.6659,11871,0.0686,45933,0.2655,173000,41787,0.2429,117963,0.6858,11564,0.0672,42473,0.2469,172000,41617,0.2434,120986,0.7075,11516,0.0673,38498,0.2251,171000,41873,0.2434,111727,0.6496,11541,0.0671,48732,0.2833,172000,41871,0.2434,102469,0.5958,11433,0.0665,58098,0.3378,172000,172166.67,0.9512,0.0000,0.0025
single-group_errors-at-the-end,27357,0.1668,62729,0.3825,15638,0.0954,85633,0.5222,164000,27489,0.1686,63063,0.3869,14835,0.0910,85102,0.5221,163000,27408,0.1681,69183,0.4244,14950,0.0917,78867,0.4838,163000,27353,0.1678,72366,0.4440,14841,0.0910,75793,0.4650,163000,26292,0.1643,67933,0.4246,13796,0.0862,78271,0.4892,160000,27404,0.1681,72379,0.4440,15155,0.0930,75466,0.4630,163000,162666.67,0.8987,0.0000,0.0023
by-proportions,42750,0.2443,116409,0.6652,12994,0.0743,45597,0.2606,175000,42408,0.2437,131665,0.7567,12746,0.0733,29589,0.1701,174000,42629,0.2450,128717,0.7398,12601,0.0724,32682,0.1878,174000,42526,0.2444,125478,0.7211,12592,0.0724,35930,0.2065,174000,41833,0.2418,134115,0.7752,12086,0.0699,26799,0.1549,173000,42319,0.2432,128601,0.7391,12698,0.0730,32701,0.1879,174000,174000.00,0.9613,0.0000,0.0023
double,49717,0.2732,141230,0.7760,11568,0.0636,29202,0.1605,182000,49568,0.2739,134837,0.7450,10857,0.0600,35306,0.1951,181000,49608,0.2741,141132,0.7797,11121,0.0614,28747,0.1588,181000,49829,0.2738,135021,0.7419,11361,0.0624,35618,0.1957,182000,49704,0.2746,138096,0.7630,11107,0.0614,31797,0.1757,181000,49450,0.2732,137846,0.7616,11178,0.0618,31976,0.1767,181000,181333.33,1.0018,0.1449,0.1739
