strategy,0-stable_pairs,0-stable_ratio,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-others,0-others_ratio,0-complement,1-stable_pairs,1-stable_ratio,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-others,1-others_ratio,1-complement,2-stable_pairs,2-stable_ratio,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-others,2-others_ratio,2-complement,3-stable_pairs,3-stable_ratio,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-others,3-others_ratio,3-complement,4-stable_pairs,4-stable_ratio,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-others,4-others_ratio,4-complement,5-stable_pairs,5-stable_ratio,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-others,5-others_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,1124093,0.3818,1731485,0.5881,191063,0.0649,1021452,0.3470,2944000,1120156,0.3779,1732595,0.5845,190800,0.0644,1040605,0.3511,2964000,1121562,0.3798,1748889,0.5922,191984,0.0650,1012127,0.3427,2953000,1107091,0.3767,1720428,0.5854,190703,0.0649,1027869,0.3497,2939000,1121884,0.3785,1712008,0.5776,191943,0.0648,1060049,0.3576,2964000,1111868,0.3782,1721305,0.5855,191105,0.0650,1027590,0.3495,2940000,2950666.67,1.0000,1.0000,1.0000
single-group,1050419,0.1801,1943560,0.3333,397042,0.0681,3491398,0.5987,5832000,1051775,0.1800,1957615,0.3351,397769,0.0681,3486616,0.5968,5842000,1062395,0.1818,1947677,0.3333,396315,0.0678,3499008,0.5988,5843000,1050525,0.1795,1937553,0.3310,395015,0.0675,3520432,0.6015,5853000,1044749,0.1792,1931154,0.3312,394190,0.0676,3504656,0.6011,5830000,1055019,0.1808,1950447,0.3343,395594,0.0678,3487959,0.5979,5834000,5839000.00,1.9789,0.0000,0.0050
single-group_errors-at-the-end,1024031,0.2606,1562404,0.3977,511156,0.1301,1855440,0.4722,3929000,1040084,0.2590,1606700,0.4001,513626,0.1279,1895674,0.4720,4016000,1028865,0.2586,1576072,0.3961,505980,0.1272,1896948,0.4767,3979000,1037772,0.2590,1612836,0.4025,506482,0.1264,1887682,0.4711,4007000,1120936,0.2735,1685402,0.4112,511122,0.1247,1902476,0.4641,4099000,1116695,0.2740,1699209,0.4169,508948,0.1249,1867843,0.4583,4076000,4017666.67,1.3616,0.0000,0.0050
by-proportions,1177939,0.2450,2472854,0.5144,388221,0.0808,1945925,0.4048,4807000,1159567,0.2417,2472815,0.5154,382018,0.0796,1943167,0.4050,4798000,1187735,0.2457,2518243,0.5209,378272,0.0783,1937485,0.4008,4834000,1172617,0.2461,2476312,0.5197,373567,0.0784,1915121,0.4019,4765000,1170626,0.2429,2470820,0.5126,386104,0.0801,1963076,0.4073,4820000,1191019,0.2448,2543987,0.5228,382238,0.0786,1939775,0.3986,4866000,4815000.00,1.6318,0.0000,0.0050
double,1185569,0.3401,2449497,0.7027,191369,0.0549,845134,0.2424,3486000,1171418,0.3358,2466920,0.7073,191219,0.0548,829861,0.2379,3488000,1173846,0.3370,2436964,0.6997,192004,0.0551,854032,0.2452,3483000,1179714,0.3394,2432732,0.6999,191319,0.0550,851949,0.2451,3476000,1178197,0.3367,2474170,0.7071,191016,0.0546,833814,0.2383,3499000,1198982,0.3406,2472103,0.7023,191722,0.0545,856175,0.2432,3520000,3492000.00,1.1835,0.0000,0.0050
