seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,958556,958462,946586,962100,959031,890686,945903.50,1.0000
single-group,880595,860340,921794,888627,887734,891251,888390.17,0.9392
single-group_random-42,843688,843292,842102,838360,832618,822297,837059.50,0.8849
single-group_random-43,827383,828915,827370,822834,832540,835385,829071.17,0.8765
single-group_random-44,823585,845655,821230,830008,819691,840651,830136.67,0.8776
single-group_random-45,888233,901551,892453,894693,885236,890937,892183.83,0.9432
single-group_random-46,830043,835672,819354,819338,834396,821708,826751.83,0.8740
