strategy,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,76181,76091,75038,74796,74459,76438,75500.50,1.0000,1.0000,1.0000
single-group,76510,80330,75259,75310,73269,81422,77016.67,1.0201,0.2856,0.3939
single-group_errors-at-the-end,45160,46442,43627,48009,46956,43444,45606.33,0.6041,0.0000,0.0022
by-proportions,59381,60565,60309,59948,59625,60197,60004.17,0.7948,0.0000,0.0022
double,78983,81205,72202,85158,84933,84049,81088.33,1.0740,0.0217,0.0649
