strategy,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,1124093,1120156,1121562,1107091,1121884,1111868,1117775.67,1.0000,1.0000,1.0000
single-group,1050419,1051775,1062395,1050525,1044749,1055019,1052480.33,0.9416,0.0000,0.0022
single-group_errors-at-the-end,1024031,1040084,1028865,1037772,1120936,1116695,1061397.17,0.9496,0.0124,0.0411
by-proportions,1177939,1159567,1187735,1172617,1170626,1191019,1176583.83,1.0526,0.0000,0.0022
double,1185569,1171418,1173846,1179714,1178197,1198982,1181287.67,1.0568,0.0000,0.0022
