seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,842462,851289,850021,854576,861848,855365,852593.50,1.0000
single-group,875998,896232,879464,899281,830955,959956,890314.33,1.0442
single-group_random-42,794975,795320,786591,805213,809009,815042,801025.00,0.9395
single-group_random-43,807565,820940,805354,818173,818326,820763,815186.83,0.9561
single-group_random-44,807021,795103,803336,798698,797331,790855,798724.00,0.9368
single-group_random-45,790629,807448,800542,822873,805557,805142,805365.17,0.9446
single-group_random-46,804225,819056,821998,807236,820920,812364,814299.83,0.9551
