strategy,0-stable_num,0-stable_pairs,0-stable_ratio,0-OK_num,0-OK_mutants,0-OK_ratio,0-all_num,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-others,0-others_ratio,0-start2end-end2end,0-start2end-end2end_ratio,0-complement,1-stable_num,1-stable_pairs,1-stable_ratio,1-OK_num,1-OK_mutants,1-OK_ratio,1-all_num,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-others,1-others_ratio,1-start2end-end2end,1-start2end-end2end_ratio,1-complement,2-stable_num,2-stable_pairs,2-stable_ratio,2-OK_num,2-OK_mutants,2-OK_ratio,2-all_num,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-others,2-others_ratio,2-start2end-end2end,2-start2end-end2end_ratio,2-complement,3-stable_num,3-stable_pairs,3-stable_ratio,3-OK_num,3-OK_mutants,3-OK_ratio,3-all_num,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-others,3-others_ratio,3-start2end-end2end,3-start2end-end2end_ratio,3-complement,4-stable_num,4-stable_pairs,4-stable_ratio,4-OK_num,4-OK_mutants,4-OK_ratio,4-all_num,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-others,4-others_ratio,4-start2end-end2end,4-start2end-end2end_ratio,4-complement,5-stable_num,5-stable_pairs,5-stable_ratio,5-OK_num,5-OK_mutants,5-OK_ratio,5-all_num,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-others,5-others_ratio,5-start2end-end2end,5-start2end-end2end_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,85580,294311,0.3909,3777,340330,0.4520,3830,461437,0.6128,110248,0.1464,638922,0.8485,740699.64,0.9837,753000,85580,293492,0.3913,3773,338937,0.4519,3826,463060,0.6174,108414,0.1446,637760,0.8503,737343.0,0.9831,750000,85580,293866,0.3923,3774,339064,0.4527,3827,463055,0.6182,108813,0.1453,636360,0.8496,736713.11,0.9836,749000,85580,291197,0.3898,3774,336768,0.4508,3827,467058,0.6252,108815,0.1457,634358,0.8492,734586.03,0.9834,747000,85580,288593,0.3874,3773,334221,0.4486,3826,452303,0.6071,108237,0.1453,632937,0.8496,733054.49,0.9840,745000,85580,292743,0.3908,3776,337023,0.4500,3829,461444,0.6161,108035,0.1442,637136,0.8506,735229.59,0.9816,749000,748833.33,1.0000,1.0000,1.0000
single-group,85580,251955,0.2432,3778,297875,0.2875,3831,424539,0.4098,163407,0.1577,868762,0.8386,1024266.23,0.9887,1036000,85580,267688,0.2485,3778,312996,0.2906,3831,449152,0.4170,168365,0.1563,904804,0.8401,1063558.41,0.9875,1077000,85580,266552,0.2482,3778,313446,0.2918,3831,446362,0.4156,168677,0.1571,901492,0.8394,1060739.32,0.9877,1074000,85580,260131,0.2443,3778,306081,0.2874,3831,433169,0.4067,167612,0.1574,893557,0.8390,1050663.87,0.9865,1065000,85580,264321,0.2447,3778,311311,0.2883,3831,429396,0.3976,170731,0.1581,905438,0.8384,1066915.04,0.9879,1080000,85580,251939,0.2480,3778,297413,0.2927,3831,421026,0.4144,156253,0.1538,855916,0.8424,1002083.8,0.9863,1016000,1058000.00,1.4129,0.0000,0.0050
