strategy,0-stable_num,0-stable_pairs,0-stable_ratio,0-OK_num,0-OK_mutants,0-OK_ratio,0-all_num,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-others,0-others_ratio,0-start2end,0-start2end_ratio,0-completed,1-stable_num,1-stable_pairs,1-stable_ratio,1-OK_num,1-OK_mutants,1-OK_ratio,1-all_num,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-others,1-others_ratio,1-start2end,1-start2end_ratio,1-completed,2-stable_num,2-stable_pairs,2-stable_ratio,2-OK_num,2-OK_mutants,2-OK_ratio,2-all_num,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-others,2-others_ratio,2-start2end,2-start2end_ratio,2-completed,3-stable_num,3-stable_pairs,3-stable_ratio,3-OK_num,3-OK_mutants,3-OK_ratio,3-all_num,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-others,3-others_ratio,3-start2end,3-start2end_ratio,3-completed,4-stable_num,4-stable_pairs,4-stable_ratio,4-OK_num,4-OK_mutants,4-OK_ratio,4-all_num,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-others,4-others_ratio,4-start2end,4-start2end_ratio,4-completed,5-stable_num,5-stable_pairs,5-stable_ratio,5-OK_num,5-OK_mutants,5-OK_ratio,5-all_num,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-others,5-others_ratio,5-start2end,5-start2end_ratio,5-completed,avg.,/avg. default,T-test vs. default,U-test vs. default
default,3257,50344,0.2736,378,52187,0.2836,410,126789,0.6891,11459,0.0623,118681.61,0.6450,182327.61,0.9909,184000,3257,49526,0.2706,378,51422,0.2810,410,128918,0.7045,11026,0.0603,118430.67,0.6472,180878.67,0.9884,183000,3257,49580,0.2724,378,51443,0.2827,410,132229,0.7265,10960,0.0602,118213.6,0.6495,180616.6,0.9924,182000,3257,49583,0.2724,378,51472,0.2828,410,132042,0.7255,10884,0.0598,118232.75,0.6496,180588.75,0.9922,182000,3257,49353,0.2727,378,51253,0.2832,410,138130,0.7631,10754,0.0594,117890.93,0.6513,179897.93,0.9939,181000,3257,49905,0.2727,378,51749,0.2828,410,138864,0.7588,10597,0.0579,118606.24,0.6481,180952.24,0.9888,183000,182500.00,1.0000,1.0000,1.0000
single-group,3257,42107,0.2434,378,43895,0.2537,410,124570,0.7201,12222,0.0706,115492.25,0.6676,171609.25,0.9920,173000,3257,41963,0.2426,378,43830,0.2534,410,130682,0.7554,11830,0.0684,115641.46,0.6684,171301.46,0.9902,173000,3257,41848,0.2419,378,43688,0.2525,410,130628,0.7551,12265,0.0709,115435.65,0.6673,171388.65,0.9907,173000,3257,42086,0.2433,378,43954,0.2541,410,130976,0.7571,11849,0.0685,115633.35,0.6684,171436.35,0.9910,173000,3257,41962,0.2426,378,43792,0.2531,410,127548,0.7373,12096,0.0699,115473.7,0.6675,171361.7,0.9905,173000,3257,42283,0.2430,378,44107,0.2535,410,118684,0.6821,12384,0.0712,116318.34,0.6685,172809.34,0.9932,174000,173166.67,0.9489,0.0000,0.0035
