strategy,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test vs. default,U-test vs. default
default,874329,873596,874165,873491,873833,873599,873835.50,1.0000,1.0000,1.0000
single-group,836448,836434,836613,836347,836679,836446,836494.50,0.9573,0.0000,0.0022
single-group_errors-at-the-end,836451,836321,836336,836266,836682,836493,836424.83,0.9572,0.0000,0.0022
by-proportions,844408,844272,844515,844544,844512,845218,844578.17,0.9665,0.0000,0.0022
double,872212,872344,872374,872012,872724,872141,872301.17,0.9982,0.0000,0.0022
