strategy,0-stable_num,0-stable_pairs,0-stable_ratio,0-OK_num,0-OK_mutants,0-OK_ratio,0-all_num,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-others,0-others_ratio,0-start2end,0-start2end_ratio,0-completed,1-stable_num,1-stable_pairs,1-stable_ratio,1-OK_num,1-OK_mutants,1-OK_ratio,1-all_num,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-others,1-others_ratio,1-start2end,1-start2end_ratio,1-completed,2-stable_num,2-stable_pairs,2-stable_ratio,2-OK_num,2-OK_mutants,2-OK_ratio,2-all_num,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-others,2-others_ratio,2-start2end,2-start2end_ratio,2-completed,3-stable_num,3-stable_pairs,3-stable_ratio,3-OK_num,3-OK_mutants,3-OK_ratio,3-all_num,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-others,3-others_ratio,3-start2end,3-start2end_ratio,3-completed,4-stable_num,4-stable_pairs,4-stable_ratio,4-OK_num,4-OK_mutants,4-OK_ratio,4-all_num,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-others,4-others_ratio,4-start2end,4-start2end_ratio,4-completed,5-stable_num,5-stable_pairs,5-stable_ratio,5-OK_num,5-OK_mutants,5-OK_ratio,5-all_num,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-others,5-others_ratio,5-start2end,5-start2end_ratio,5-completed,avg.,/avg. default,T-test vs. default,U-test vs. default
default,342358,605728,0.2348,20146,796905,0.3089,20237,985088,0.3818,896905,0.3476,869471.41,0.3370,2563281.41,0.9935,2580000,342358,602811,0.2342,20140,793790,0.3084,20231,983236,0.3820,895804,0.3480,866507.72,0.3366,2556101.72,0.9930,2574000,342358,598109,0.2331,20147,787178,0.3068,20239,977092,0.3808,889465,0.3466,871653.34,0.3397,2548296.34,0.9931,2566000,342358,606308,0.2355,20147,796931,0.3095,20238,984696,0.3824,891622,0.3463,869109.47,0.3375,2557662.47,0.9933,2575000,342358,600909,0.2350,20147,789317,0.3087,20239,984756,0.3851,888471,0.3475,863469.82,0.3377,2541257.82,0.9938,2557000,342358,606552,0.2350,20142,797703,0.3091,20233,989386,0.3833,896599,0.3474,866974.03,0.3359,2561276.03,0.9924,2581000,2572166.67,1.0000,1.0000,1.0000
single-group,342358,500920,0.1639,20157,697307,0.2282,20248,909407,0.2976,1648622,0.5395,685158.39,0.2242,3031087.39,0.9918,3056000,342358,502608,0.1649,20156,695752,0.2283,20248,912979,0.2995,1640393,0.5382,690753.15,0.2266,3026898.15,0.9931,3048000,342358,499520,0.1636,20157,695848,0.2279,20248,910036,0.2981,1651692,0.5410,684491.98,0.2242,3032031.98,0.9931,3053000,342358,504732,0.1656,20156,697666,0.2289,20248,916233,0.3006,1639038,0.5377,690432.39,0.2265,3027136.39,0.9932,3048000,342358,510020,0.1660,20156,702451,0.2287,20248,918472,0.2990,1651159,0.5375,695072.33,0.2263,3048682.33,0.9924,3072000,342358,474987,0.1710,20157,669260,0.2410,20248,880289,0.3170,1455251,0.5240,632916.18,0.2279,2757427.18,0.9930,2777000,3009000.00,1.1698,0.0000,0.0050
