strategy,0-stable_num,0-stable_pairs,0-stable_ratio,0-OK_num,0-OK_mutants,0-OK_ratio,0-all_num,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-others,0-others_ratio,0-start2end,0-start2end_ratio,0-end2start,0-end2start_ratio,0-complement,1-stable_num,1-stable_pairs,1-stable_ratio,1-OK_num,1-OK_mutants,1-OK_ratio,1-all_num,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-others,1-others_ratio,1-start2end,1-start2end_ratio,1-end2start,1-end2start_ratio,1-complement,2-stable_num,2-stable_pairs,2-stable_ratio,2-OK_num,2-OK_mutants,2-OK_ratio,2-all_num,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-others,2-others_ratio,2-start2end,2-start2end_ratio,2-end2start,2-end2start_ratio,2-complement,3-stable_num,3-stable_pairs,3-stable_ratio,3-OK_num,3-OK_mutants,3-OK_ratio,3-all_num,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-others,3-others_ratio,3-start2end,3-start2end_ratio,3-end2start,3-end2start_ratio,3-complement,4-stable_num,4-stable_pairs,4-stable_ratio,4-OK_num,4-OK_mutants,4-OK_ratio,4-all_num,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-others,4-others_ratio,4-start2end,4-start2end_ratio,4-end2start,4-end2start_ratio,4-complement,5-stable_num,5-stable_pairs,5-stable_ratio,5-OK_num,5-OK_mutants,5-OK_ratio,5-all_num,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-others,5-others_ratio,5-start2end,5-start2end_ratio,5-end2start,5-end2start_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,1874,8541,0.1335,557,9844,0.1538,560,18904,0.2954,3902,0.0610,59538,0.9303,55787.12,0.8717,17.93,0.0003,64000,1874,11213,0.1674,595,12758,0.1904,598,18790,0.2804,4127,0.0616,62275,0.9295,58823.91,0.8780,18.41,0.0003,67000,1874,11171,0.1693,595,12701,0.1924,598,21748,0.3295,4056,0.0615,61346,0.9295,58549.07,0.8871,18.75,0.0003,66000,1874,9199,0.1437,567,10588,0.1654,570,16620,0.2597,3901,0.0610,59529,0.9301,55919.91,0.8737,18.05,0.0003,64000,1874,8070,0.1281,551,9358,0.1485,554,18417,0.2923,3820,0.0606,58626,0.9306,55226.32,0.8766,17.9,0.0003,63000,1874,10504,0.1616,593,11971,0.1842,596,18012,0.2771,4039,0.0621,60365,0.9287,57459.3,0.8840,18.45,0.0003,65000,64833.33,1.0000,1.0000,1.0000
single-group,1874,1509,0.0539,596,2244,0.0801,599,8281,0.2958,9600,0.3429,17801,0.6358,9129.44,0.3261,0.0,0.0000,28000,1874,1511,0.0560,596,2248,0.0833,599,11297,0.4184,9262,0.3430,17139,0.6348,8916.62,0.3302,0.0,0.0000,27000,1874,1504,0.0557,596,2232,0.0827,599,11283,0.4179,9135,0.3383,17266,0.6395,9121.78,0.3378,0.0,0.0000,27000,1874,1481,0.0549,596,2248,0.0833,599,8290,0.3070,9244,0.3424,17157,0.6354,9233.12,0.3420,0.0,0.0000,27000,1874,1502,0.0556,596,2239,0.0829,599,5267,0.1951,9469,0.3507,16932,0.6271,9148.21,0.3388,0.0,0.0000,27000,1874,1508,0.0559,596,2266,0.0839,599,8309,0.3077,9317,0.3451,17084,0.6327,8988.89,0.3329,0.0,0.0000,27000,27166.67,0.4190,0.0000,0.0036
