strategy,0-stable_pairs,0-stable_ratio,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-others,0-others_ratio,0-complement,1-stable_pairs,1-stable_ratio,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-others,1-others_ratio,1-complement,2-stable_pairs,2-stable_ratio,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-others,2-others_ratio,2-complement,3-stable_pairs,3-stable_ratio,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-others,3-others_ratio,3-complement,4-stable_pairs,4-stable_ratio,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-others,4-others_ratio,4-complement,5-stable_pairs,5-stable_ratio,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-others,5-others_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,215836,0.4080,399811,0.7558,26984,0.0510,102205,0.1932,529000,216587,0.4087,401262,0.7571,26716,0.0504,102022,0.1925,530000,217394,0.4102,408156,0.7701,26165,0.0494,95679,0.1805,530000,217110,0.4096,405049,0.7642,26848,0.0507,98103,0.1851,530000,216540,0.4078,407760,0.7679,27109,0.0511,96131,0.1810,531000,216962,0.4086,401568,0.7562,26875,0.0506,102557,0.1931,531000,530166.67,1.0000,1.0000,1.0000
single-group,222203,0.4107,418213,0.7730,45095,0.0834,77692,0.1436,541000,210762,0.4108,398332,0.7765,38750,0.0755,75918,0.1480,513000,210812,0.4109,407009,0.7934,38912,0.0759,67079,0.1308,513000,210128,0.4104,409521,0.7998,38508,0.0752,63971,0.1249,512000,210900,0.4111,404696,0.7889,38167,0.0744,70137,0.1367,513000,211001,0.4105,410512,0.7987,38891,0.0757,64597,0.1257,514000,517666.67,0.9764,0.0235,0.0613
single-group_errors-at-the-end,197074,0.3879,345416,0.6800,59606,0.1173,102978,0.2027,508000,195511,0.3856,349313,0.6890,60601,0.1195,97086,0.1915,507000,197801,0.3901,351862,0.6940,58203,0.1148,96935,0.1912,507000,197752,0.3877,348623,0.6836,60546,0.1187,100831,0.1977,510000,195926,0.3857,350340,0.6896,60903,0.1199,96757,0.1905,508000,193589,0.3826,341455,0.6748,60924,0.1204,103621,0.2048,506000,507666.67,0.9576,0.0000,0.0046
by-proportions,215690,0.4132,399445,0.7652,43652,0.0836,78903,0.1512,522000,216330,0.4028,421894,0.7856,43122,0.0803,71984,0.1340,537000,216110,0.4140,396839,0.7602,42391,0.0812,82770,0.1586,522000,216676,0.4119,398699,0.7580,42973,0.0817,84328,0.1603,526000,214049,0.4124,394492,0.7601,42972,0.0828,81536,0.1571,519000,215840,0.4143,405202,0.7777,43182,0.0829,72616,0.1394,521000,524500.00,0.9893,0.0610,0.0627
double,218878,0.4193,412496,0.7902,28606,0.0548,80898,0.1550,522000,219983,0.4230,397617,0.7646,28134,0.0541,94249,0.1812,520000,221457,0.4202,407722,0.7737,28320,0.0537,90958,0.1726,527000,218981,0.4195,393152,0.7532,28976,0.0555,99872,0.1913,522000,220472,0.4216,407431,0.7790,28902,0.0553,86667,0.1657,523000,219701,0.4217,406487,0.7802,28573,0.0548,85940,0.1650,521000,522500.00,0.9855,0.0000,0.0046
