strategy,0-stable_pairs,0-stable_ratio,0-all_pairs,0-all_ratio,0-replacement,0-replacement_ratio,0-complement,1-stable_pairs,1-stable_ratio,1-all_pairs,1-all_ratio,1-replacement,1-replacement_ratio,1-complement,2-stable_pairs,2-stable_ratio,2-all_pairs,2-all_ratio,2-replacement,2-replacement_ratio,2-complement,3-stable_pairs,3-stable_ratio,3-all_pairs,3-all_ratio,3-replacement,3-replacement_ratio,3-complement,4-stable_pairs,4-stable_ratio,4-all_pairs,4-all_ratio,4-replacement,4-replacement_ratio,4-complement,5-stable_pairs,5-stable_ratio,5-all_pairs,5-all_ratio,5-replacement,5-replacement_ratio,5-complement,avg.,/avg. default,T-test vs. default,U-test vs. default
default,874329,0.9301,890815,0.9477,27379,0.0291,940000,873596,0.9313,890108,0.9489,27224,0.0290,938000,874165,0.9310,890742,0.9486,26906,0.0287,939000,873491,0.9312,889993,0.9488,26948,0.0287,938000,873833,0.9316,890211,0.9491,27146,0.0289,938000,873599,0.9313,890022,0.9489,27043,0.0288,938000,938500.00,1.0000,1.0000,1.0000
single-group,836448,0.9182,857892,0.9417,41089,0.0451,911000,836434,0.9181,857792,0.9416,40864,0.0449,911000,836613,0.9183,858083,0.9419,40966,0.0450,911000,836347,0.9181,857898,0.9417,41115,0.0451,911000,836679,0.9184,858158,0.9420,41173,0.0452,911000,836446,0.9182,857834,0.9416,41941,0.0460,911000,911000.00,0.9707,0.0000,0.0023
single-group_errors-at-the-end,836451,0.9182,857865,0.9417,41283,0.0453,911000,836321,0.9180,857725,0.9415,41342,0.0454,911000,836336,0.9170,857835,0.9406,42121,0.0462,912000,836266,0.9170,857674,0.9404,42128,0.0462,912000,836682,0.9164,858116,0.9399,42337,0.0464,913000,836493,0.9172,857868,0.9406,42002,0.0461,912000,911833.33,0.9716,0.0000,0.0040
by-proportions,844408,0.9229,866686,0.9472,35764,0.0391,915000,844272,0.9227,866481,0.9470,35673,0.0390,915000,844515,0.9230,866820,0.9473,35331,0.0386,915000,844544,0.9230,866760,0.9473,35569,0.0389,915000,844512,0.9230,866753,0.9473,35621,0.0389,915000,845218,0.9217,867401,0.9459,36738,0.0401,917000,915333.33,0.9753,0.0000,0.0031
double,872212,0.9309,889010,0.9488,26972,0.0288,937000,872344,0.9310,889029,0.9488,27027,0.0288,937000,872374,0.9310,889067,0.9488,26858,0.0287,937000,872012,0.9306,888717,0.9485,27064,0.0289,937000,872724,0.9314,889461,0.9493,26824,0.0286,937000,872141,0.9308,888784,0.9485,26794,0.0286,937000,937000.00,0.9984,0.0014,0.0023
