project,seed1,seed2,T-test,U-test
commons-codec,default,sgl_grp,0.053,0.093
commons-codec,default,shuffled,0.000,0.002
commons-codec,default,def_ln-freq_def,0.006,0.015
commons-codec,default,def_def_shuf,0.840,0.818
commons-codec,default,clz_clz-cvg_def,0.589,0.699
commons-codec,default,clz_ln-cvg_def,0.713,0.699
commons-codec,default,n-tst_clz-cvg_def,0.000,0.002
commons-codec,default,n-tst_ln-cvg_def,0.000,0.002
commons-codec,default,n-tst_clz-sim_def,0.000,0.002
commons-codec,default,n-tst_clz-diff_def,0.000,0.002
commons-codec,default,n-tst_clz-ext_def,0.000,0.002
commons-codec,default,n-tst_ln-ext_def,0.000,0.002
commons-codec,default,01-tst_clz-cvg_def,0.000,0.002
commons-codec,default,01-tst_ln-cvg_def,0.000,0.002
commons-codec,sgl_grp,shuffled,0.002,0.002
commons-codec,sgl_grp,def_ln-freq_def,0.014,0.026
commons-codec,sgl_grp,def_def_shuf,0.056,0.093
commons-codec,sgl_grp,clz_clz-cvg_def,0.063,0.093
commons-codec,sgl_grp,clz_ln-cvg_def,0.061,0.093
commons-codec,sgl_grp,n-tst_clz-cvg_def,0.660,0.485
commons-codec,sgl_grp,n-tst_ln-cvg_def,0.887,0.937
commons-codec,sgl_grp,n-tst_clz-sim_def,0.784,0.937
commons-codec,sgl_grp,n-tst_clz-diff_def,0.766,1.000
commons-codec,sgl_grp,n-tst_clz-ext_def,0.715,0.937
commons-codec,sgl_grp,n-tst_ln-ext_def,0.764,0.937
commons-codec,sgl_grp,01-tst_clz-cvg_def,0.764,0.937
commons-codec,sgl_grp,01-tst_ln-cvg_def,0.916,0.589
commons-codec,shuffled,def_ln-freq_def,0.000,0.002
commons-codec,shuffled,def_def_shuf,0.000,0.002
commons-codec,shuffled,clz_clz-cvg_def,0.000,0.002
commons-codec,shuffled,clz_ln-cvg_def,0.000,0.002
commons-codec,shuffled,n-tst_clz-cvg_def,0.000,0.002
commons-codec,shuffled,n-tst_ln-cvg_def,0.000,0.002
commons-codec,shuffled,n-tst_clz-sim_def,0.000,0.002
commons-codec,shuffled,n-tst_clz-diff_def,0.000,0.002
commons-codec,shuffled,n-tst_clz-ext_def,0.000,0.002
commons-codec,shuffled,n-tst_ln-ext_def,0.000,0.002
commons-codec,shuffled,01-tst_clz-cvg_def,0.000,0.002
commons-codec,shuffled,01-tst_ln-cvg_def,0.000,0.002
commons-codec,def_ln-freq_def,def_def_shuf,0.002,0.004
commons-codec,def_ln-freq_def,clz_clz-cvg_def,0.001,0.004
commons-codec,def_ln-freq_def,clz_ln-cvg_def,0.002,0.009
commons-codec,def_ln-freq_def,n-tst_clz-cvg_def,0.000,0.002
commons-codec,def_ln-freq_def,n-tst_ln-cvg_def,0.000,0.002
commons-codec,def_ln-freq_def,n-tst_clz-sim_def,0.000,0.002
commons-codec,def_ln-freq_def,n-tst_clz-diff_def,0.000,0.002
commons-codec,def_ln-freq_def,n-tst_clz-ext_def,0.000,0.002
commons-codec,def_ln-freq_def,n-tst_ln-ext_def,0.000,0.002
commons-codec,def_ln-freq_def,01-tst_clz-cvg_def,0.000,0.002
commons-codec,def_ln-freq_def,01-tst_ln-cvg_def,0.000,0.002
