seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,135554,130988,134808,142415,130799,132935,134583,1.0
sgl_grp,109940,113675,109940,110555,116624,115593,112721,0.838
shuffled,136060,123225,81354,138522,137079,138790,125838,0.935
def_ln-freq_def,140723,141452,140248,140929,141879,141529,141127,1.049
def_def_shuf,143894,143821,142685,143692,143686,142309,143348,1.065
clz_clz-cvg_def,112955,112740,112402,113400,113166,111177,112640,0.837
clz_ln-cvg_def,112734,112231,111476,112241,112236,112165,112180,0.834
n-tst_clz-cvg_def,98692,97215,97648,97228,96732,97169,97447,0.724
n-tst_ln-cvg_def,97853,97486,97200,97532,97576,97760,97568,0.725
n-tst_clz-sim_def,97563,98377,98169,98354,97539,97647,97942,0.728
n-tst_clz-diff_def,98407,100472,99898,98407,99304,98032,99087,0.736
n-tst_clz-ext_def,99200,97817,97754,97767,97966,99066,98262,0.73
n-tst_ln-ext_def,98399,98581,98841,99180,98704,98797,98750,0.734
01-tst_clz-cvg_def,104391,104516,104035,103986,104014,101941,103814,0.771
01-tst_ln-cvg_def,103555,103875,103455,103503,102593,103103,103347,0.768
