project,suffix,total_time_ms,mutation_testing_ms,unit_count,unit_total_ms,unit_pct_of_mutation_time,process_count,process_total_ms,process_pct_of_mutation_time,step_start_minion_count,step_start_minion_total_ms,step_start_minion_pct_of_mutation_time,step_read_args_count,step_read_args_total_ms,step_read_args_pct_of_mutation_time,step_configure_verbosity_count,step_configure_verbosity_total_ms,step_configure_verbosity_pct_of_mutation_time,step_get_context_classloader_count,step_get_context_classloader_total_ms,step_get_context_classloader_pct_of_mutation_time,step_build_byte_source_count,step_build_byte_source_total_ms,step_build_byte_source_pct_of_mutation_time,step_create_hotswap_count,step_create_hotswap_total_ms,step_create_hotswap_pct_of_mutation_time,step_create_engine_count,step_create_engine_total_ms,step_create_engine_pct_of_mutation_time,step_create_reset_env_count,step_create_reset_env_total_ms,step_create_reset_env_pct_of_mutation_time,step_build_worker_count,step_build_worker_total_ms,step_build_worker_pct_of_mutation_time,step_find_tests_count,step_find_tests_total_ms,step_find_tests_pct_of_mutation_time,mutation_error_count,mutation_error_total_ms,mutation_error_pct_of_mutation_time,mutation_ok_count,mutation_ok_total_ms,mutation_ok_pct_of_mutation_time,replaced_total_ms,replaced_pct_of_mutation_time,tests_total_ms,tests_pct_of_mutation_time,log
commons-cli,default,226000.000,224000.000,28,224633.239,100.283,42,224628.219,100.280,42,4788.682,2.138,42,838.658,0.374,42,3.230,0.001,42,1.636,0.001,42,271.782,0.121,42,10.726,0.005,42,912.404,0.407,42,31.024,0.014,42,173.893,0.078,42,24534.096,10.953,14,43704.299,19.511,863,149281.045,66.643,30259.000,13.508,117410.000,52.415,logs/commons-cli_default.log
commons-cli,single-group,225000.000,223000.000,1,222559.740,99.803,15,222555.665,99.801,15,1930.308,0.866,15,578.020,0.259,15,1.292,0.001,15,0.582,0.000,15,113.875,0.051,15,4.793,0.002,15,361.234,0.162,15,12.153,0.005,15,68.593,0.031,15,15934.240,7.145,14,45325.159,20.325,863,158190.177,70.937,38991.000,17.485,114397.000,51.299,logs/commons-cli_single-group.log
commons-cli,default_master-finder,195000.000,192000.000,28,192827.553,100.431,42,192822.640,100.428,42,6135.067,3.195,42,900.356,0.469,42,3.248,0.002,42,1.563,0.001,42,276.259,0.144,42,9.491,0.005,42,917.357,0.478,42,36.542,0.019,42,168.846,0.088,42,769.311,0.401,14,43829.028,22.828,863,139701.858,72.761,23947.000,12.472,111005.000,57.815,logs/commons-cli_default_master-finder.log
commons-cli,single-group_master-finder,184000.000,181000.000,1,180817.376,99.899,15,180814.070,99.897,15,2451.371,1.354,15,582.936,0.322,15,1.418,0.001,15,0.678,0.000,15,117.443,0.065,15,3.931,0.002,15,367.711,0.203,15,16.108,0.009,15,64.880,0.036,15,372.943,0.206,14,43771.373,24.183,863,133033.113,73.499,33528.000,18.524,94926.000,52.445,logs/commons-cli_single-group_master-finder.log
commons-codec,default,702000.000,693000.000,75,693090.355,100.013,128,693078.909,100.011,128,14284.096,2.061,128,2426.644,0.350,128,9.645,0.001,128,4.659,0.001,128,803.065,0.116,128,28.794,0.004,128,2685.355,0.387,128,95.861,0.014,128,516.673,0.075,128,78646.842,11.349,53,156268.445,22.550,3778,437070.279,63.069,97289.000,14.039,325134.000,46.917,logs/commons-codec_default.log
commons-codec,single-group,992000.000,983000.000,1,982140.236,99.913,54,982128.424,99.911,54,6396.608,0.651,54,2135.787,0.217,54,4.903,0.000,54,2.240,0.000,54,412.049,0.042,54,13.972,0.001,54,1277.881,0.130,54,46.389,0.005,54,247.233,0.025,54,352841.875,35.894,53,156824.726,15.954,3778,461788.682,46.977,150323.000,15.292,297840.000,30.299,logs/commons-codec_single-group.log
commons-codec,default_master-finder,1650000.000,1623000.000,75,1623656.777,100.040,132,1623647.144,100.040,132,19285.813,1.188,132,2770.013,0.171,132,10.541,0.001,132,5.152,0.000,132,898.370,0.055,132,35.919,0.002,132,2987.064,0.184,132,120.734,0.007,132,555.277,0.034,132,2313.856,0.143,57,219112.738,13.500,3775,1375307.891,84.739,83214.000,5.127,1294309.000,79.748,logs/commons-codec_default_master-finder.log
commons-codec,single-group_master-finder,1615000.000,1587000.000,1,1585672.637,99.916,58,1585661.168,99.916,58,8680.146,0.547,58,2335.067,0.147,58,5.666,0.000,58,2.520,0.000,58,463.656,0.029,58,19.071,0.001,58,1459.633,0.092,58,59.506,0.004,58,265.238,0.017,58,1598.673,0.101,57,220869.058,13.917,3775,1349757.395,85.051,106795.000,6.729,1245756.000,78.498,logs/commons-codec_single-group_master-finder.log
commons-collections,default,3472000.000,3448000.000,461,3448412.510,100.012,631,3448382.688,100.011,631,74370.791,2.157,631,11898.826,0.345,631,47.610,0.001,631,23.518,0.001,631,4181.715,0.121,631,153.051,0.004,631,13684.219,0.397,631,486.164,0.014,631,2733.554,0.079,631,513504.726,14.893,177,593562.714,17.215,8049,2232530.997,64.749,192043.000,5.570,2001751.000,58.055,logs/commons-collections_default.log
commons-collections,single-group,6324000.000,6300000.000,1,6295851.993,99.934,177,6295805.034,99.933,177,26267.575,0.417,177,17627.376,0.280,177,17.257,0.000,177,7.496,0.000,177,1301.918,0.021,177,47.193,0.001,177,3965.284,0.063,177,145.272,0.002,177,786.200,0.012,177,2996944.102,47.571,176,654783.176,10.393,8050,2592879.517,41.157,401519.000,6.373,2160005.000,34.286,logs/commons-collections_single-group.log
commons-collections,default_master-finder,2809000.000,2770000.000,461,2770278.770,100.010,641,2770251.236,100.009,641,94533.253,3.413,641,13908.841,0.502,641,51.148,0.002,641,25.509,0.001,641,4331.733,0.156,641,153.627,0.006,641,14379.801,0.519,641,625.646,0.023,641,2780.859,0.100,641,15523.289,0.560,189,667742.863,24.106,8037,1955020.340,70.578,156572.000,5.652,1759356.000,63.515,logs/commons-collections_default_master-finder.log
commons-collections,single-group_master-finder,2735000.000,2695000.000,1,2693202.771,99.933,191,2693144.083,99.931,191,35567.326,1.320,191,23403.588,0.868,191,20.032,0.001,191,8.747,0.000,191,1441.739,0.053,191,53.330,0.002,191,4501.748,0.167,191,201.391,0.007,191,855.773,0.032,191,14805.313,0.549,190,686177.522,25.461,8036,1924809.546,71.422,233898.000,8.679,1653141.000,61.341,logs/commons-collections_single-group_master-finder.log
empire-db,default,866000.000,863000.000,64,863548.899,100.064,170,863530.261,100.061,170,19441.554,2.253,170,2888.719,0.335,170,12.395,0.001,170,6.124,0.001,170,1073.845,0.124,170,38.901,0.005,170,3525.458,0.409,170,128.047,0.015,170,675.151,0.078,170,10371.338,1.202,111,589001.391,68.250,2303,236138.644,27.363,60812.000,7.047,345967.000,40.089,logs/empire-db_default.log
empire-db,single-group,896000.000,893000.000,1,893153.570,100.017,116,893126.740,100.014,116,13496.081,1.511,116,3393.095,0.380,116,10.039,0.001,116,4.608,0.001,116,838.495,0.094,116,30.448,0.003,116,2611.314,0.292,116,92.248,0.010,116,480.208,0.054,116,10044.819,1.125,115,612150.285,68.550,2299,249830.810,27.977,88951.000,9.961,306703.000,34.345,logs/empire-db_single-group.log
empire-db,default_master-finder,1365000.000,1362000.000,64,1362896.977,100.066,329,1362867.938,100.064,329,46839.621,3.439,329,6063.268,0.445,329,25.500,0.002,329,12.169,0.001,329,2158.348,0.158,329,73.799,0.005,329,6994.327,0.514,329,288.042,0.021,329,1304.734,0.096,329,3488.688,0.256,274,997625.682,73.247,2140,297693.683,21.857,60114.000,4.414,263637.000,19.357,logs/empire-db_default_master-finder.log
