project,suffix,total_time_ms,mutation_testing_ms,unit_count,unit_total_ms,unit_pct_of_mutation_time,process_count,process_total_ms,process_pct_of_mutation_time,step_start_minion_count,step_start_minion_total_ms,step_start_minion_pct_of_mutation_time,step_read_args_count,step_read_args_total_ms,step_read_args_pct_of_mutation_time,step_configure_verbosity_count,step_configure_verbosity_total_ms,step_configure_verbosity_pct_of_mutation_time,step_get_context_classloader_count,step_get_context_classloader_total_ms,step_get_context_classloader_pct_of_mutation_time,step_build_byte_source_count,step_build_byte_source_total_ms,step_build_byte_source_pct_of_mutation_time,step_create_hotswap_count,step_create_hotswap_total_ms,step_create_hotswap_pct_of_mutation_time,step_create_engine_count,step_create_engine_total_ms,step_create_engine_pct_of_mutation_time,step_create_reset_env_count,step_create_reset_env_total_ms,step_create_reset_env_pct_of_mutation_time,step_build_worker_count,step_build_worker_total_ms,step_build_worker_pct_of_mutation_time,step_find_tests_count,step_find_tests_total_ms,step_find_tests_pct_of_mutation_time,mutation_error_count,mutation_error_total_ms,mutation_error_pct_of_mutation_time,mutation_ok_count,mutation_ok_total_ms,mutation_ok_pct_of_mutation_time,replaced_total_ms,replaced_pct_of_mutation_time,tests_total_ms,tests_pct_of_mutation_time,log
empire-db,single-group_master-finder,1362000.000,1359000.000,1,1359205.414,100.015,278,1359144.787,100.011,278,39796.701,2.928,278,8646.549,0.636,278,25.251,0.002,278,11.670,0.001,278,2093.719,0.154,278,71.224,0.005,278,6484.139,0.477,278,275.112,0.020,278,1165.901,0.086,278,3499.879,0.258,277,996247.649,73.307,2138,300602.596,22.119,75482.000,5.554,304693.000,22.420,logs/empire-db_single-group_master-finder.log
Mybatis-PageHelper,default,936000.000,931000.000,46,931279.526,100.030,46,931272.667,100.029,46,5270.735,0.566,46,795.444,0.085,46,3.413,0.000,46,1.683,0.000,46,298.529,0.032,46,10.419,0.001,46,951.564,0.102,46,34.830,0.004,46,188.812,0.020,46,2621.869,0.282,0,0.000,0.000,770,920964.168,98.922,27072.000,2.908,888670.000,95.453,logs/Mybatis-PageHelper_default.log
Mybatis-PageHelper,single-group,908000.000,903000.000,1,903507.306,100.056,1,903504.792,100.056,1,122.628,0.014,1,40.990,0.005,1,0.134,0.000,1,0.093,0.000,1,7.895,0.001,1,0.269,0.000,1,24.489,0.003,1,0.832,0.000,1,4.794,0.001,1,95.171,0.011,0,0.000,0.000,770,903179.142,100.020,40647.000,4.501,856647.000,94.867,logs/Mybatis-PageHelper_single-group.log
Mybatis-PageHelper,default_master-finder,1578000.000,1573000.000,46,1573537.482,100.034,46,1573531.765,100.034,46,6622.950,0.421,46,874.695,0.056,46,3.556,0.000,46,1.722,0.000,46,298.914,0.019,46,11.113,0.001,46,1004.589,0.064,46,37.240,0.002,46,189.126,0.012,46,696.987,0.044,0,0.000,0.000,770,1563687.220,99.408,28262.000,1.797,1530100.000,97.273,logs/Mybatis-PageHelper_default_master-finder.log
Mybatis-PageHelper,single-group_master-finder,,,0,0.000,,0,0.000,,1,220.338,,1,50.192,,1,0.092,,1,0.044,,1,7.562,,1,0.283,,1,23.704,,1,1.040,,1,4.338,,1,20.737,,0,0.000,,376,584989.649,,20949.000,,562187.000,,logs/Mybatis-PageHelper_single-group_master-finder.log
jimfs,default,523000.000,519000.000,102,519889.968,100.171,160,519879.000,100.169,160,18209.522,3.509,160,2850.092,0.549,160,12.141,0.002,160,5.933,0.001,160,1015.968,0.196,160,38.794,0.007,160,3390.734,0.653,160,122.041,0.024,160,646.198,0.125,160,10054.243,1.937,61,185628.120,35.766,1703,297610.092,57.343,28829.000,5.555,269238.000,51.876,logs/jimfs_default.log
jimfs,single-group,501000.000,498000.000,1,498346.755,100.070,63,498337.336,100.068,63,7398.181,1.486,63,1855.538,0.373,63,5.335,0.001,63,2.564,0.001,63,448.460,0.090,63,17.143,0.003,63,1420.536,0.285,63,49.420,0.010,63,264.501,0.053,63,5999.602,1.205,62,185604.192,37.270,1702,295170.290,59.271,41769.000,8.387,252175.000,50.638,logs/jimfs_single-group.log
jimfs,default_master-finder,1575000.000,1572000.000,102,1572408.618,100.026,183,1572392.927,100.025,183,26499.558,1.686,183,3609.164,0.230,183,14.076,0.001,183,6.887,0.000,183,1227.769,0.078,183,63.855,0.004,183,3964.692,0.252,183,160.565,0.010,183,747.855,0.048,183,2197.620,0.140,88,288675.651,18.364,1676,1244871.270,79.190,47983.000,3.052,1188642.000,75.613,logs/jimfs_default_master-finder.log
jimfs,single-group_master-finder,1590000.000,1587000.000,1,1576193.959,99.319,90,1576178.192,99.318,90,13069.335,0.824,90,2836.117,0.179,90,7.964,0.001,90,3.603,0.000,90,662.459,0.042,90,34.404,0.002,90,2048.963,0.129,90,83.592,0.005,90,380.369,0.024,90,1563.165,0.098,89,327815.338,20.656,1675,1227530.550,77.349,65634.000,4.136,1150740.000,72.510,logs/jimfs_single-group_master-finder.log
jfreechart,default,2384000.000,2374000.000,417,2374637.826,100.027,505,2374605.941,100.026,505,57575.128,2.425,505,9591.022,0.404,505,38.021,0.002,505,19.059,0.001,505,3282.590,0.138,505,113.684,0.005,505,10966.035,0.462,505,382.593,0.016,505,2103.986,0.089,505,362500.316,15.270,91,271273.630,11.427,20157,1655637.478,69.740,814252.000,34.299,796977.000,33.571,logs/jfreechart_default.log
jfreechart,single-group,2751000.000,2741000.000,1,2738597.856,99.912,93,2738525.161,99.910,93,12167.838,0.444,93,8296.832,0.303,93,9.751,0.000,93,3.974,0.000,93,692.220,0.025,93,23.667,0.001,93,2175.161,0.079,93,74.544,0.003,93,407.635,0.015,93,247019.405,9.012,92,279992.491,10.215,20156,2187205.989,79.796,1438359.000,52.476,706172.000,25.763,logs/jfreechart_single-group.log
jfreechart,default_master-finder,2189000.000,2177000.000,417,2177051.706,100.002,504,2177020.030,100.001,504,71272.707,3.274,504,10521.292,0.483,504,38.679,0.002,504,19.180,0.001,504,3435.307,0.158,504,113.942,0.005,504,11296.520,0.519,504,477.398,0.022,504,2032.701,0.093,504,9702.118,0.446,90,277651.745,12.754,20158,1789301.918,82.191,637926.000,29.303,1094805.000,50.290,logs/jfreechart_default_master-finder.log
jfreechart,single-group_master-finder,2398000.000,2386000.000,1,2384447.999,99.935,92,2384385.492,99.932,92,14991.683,0.628,92,8866.104,0.372,92,10.011,0.000,92,4.045,0.000,92,716.811,0.030,92,24.431,0.001,92,2245.160,0.094,92,92.053,0.004,92,395.314,0.017,92,6352.054,0.266,91,281417.898,11.795,20157,2068778.721,86.705,1172254.000,49.131,852338.000,35.722,logs/jfreechart_single-group_master-finder.log
JustAuth,default,63000.000,62000.000,149,62175.006,100.282,151,62163.834,100.264,151,18415.472,29.702,151,2275.301,3.670,151,11.070,0.018,151,5.496,0.009,151,947.045,1.527,151,53.574,0.086,151,3141.376,5.067,151,116.821,0.188,151,605.576,0.977,151,5682.256,9.165,3,9085.896,14.655,596,21620.641,34.872,4030.000,6.500,11630.000,18.758,logs/JustAuth_default.log
JustAuth,single-group,26000.000,25000.000,1,25043.086,100.172,4,25040.776,100.163,4,508.511,2.034,4,114.926,0.460,4,0.352,0.001,4,0.163,0.001,4,30.183,0.121,4,1.431,0.006,4,92.872,0.371,4,4.190,0.017,4,17.496,0.070,4,218.290,0.873,3,9095.294,36.381,596,14944.562,59.778,8638.000,34.552,2105.000,8.420,logs/JustAuth_single-group.log
JustAuth,default_master-finder,69000.000,68000.000,149,68334.592,100.492,151,68324.791,100.478,151,22277.252,32.761,151,2403.490,3.535,151,11.274,0.017,151,5.476,0.008,151,964.256,1.418,151,33.586,0.049,151,3216.269,4.730,151,122.218,0.180,151,602.287,0.886,151,1644.534,2.418,3,9077.947,13.350,596,27756.464,40.818,4507.000,6.628,16659.000,24.499,logs/JustAuth_default_master-finder.log
JustAuth,single-group_master-finder,28000.000,27000.000,1,27644.532,102.387,4,27641.974,102.378,4,633.648,2.347,4,122.442,0.453,4,0.354,0.001,4,0.154,0.001,4,29.343,0.109,4,1.034,0.004,4,89.831,0.333,4,4.125,0.015,4,16.413,0.061,4,50.665,0.188,3,9097.807,33.696,596,17583.361,65.124,9870.000,36.556,3088.000,11.437,logs/JustAuth_single-group_master-finder.log
sling-org-apache-sling-auth-core,default,180000.000,179000.000,16,179054.679,100.031,47,179047.930,100.027,47,5761.602,3.219,47,846.327,0.473,47,3.547,0.002,47,1.700,0.001,47,298.855,0.167,47,10.984,0.006,47,1075.494,0.601,47,38.123,0.021,47,193.965,0.108,47,2389.773,1.335,32,103941.982,58.068,378,64412.314,35.985,10522.000,5.878,63505.000,35.478,logs/sling-org-apache-sling-auth-core_default.log
sling-org-apache-sling-auth-core,single-group,171000.000,169000.000,1,169809.910,100.479,33,169802.975,100.475,33,4094.764,2.423,33,748.622,0.443,33,2.681,0.002,33,1.210,0.001,33,214.953,0.127,33,8.066,0.005,33,768.925,0.455,33,27.586,0.016,33,138.390,0.082,33,2170.898,1.285,32,104071.279,61.581,378,57509.611,34.029,11455.000,6.778,52958.000,31.336,logs/sling-org-apache-sling-auth-core_single-group.log
sling-org-apache-sling-auth-core,default_master-finder,248000.000,246000.000,16,246941.750,100.383,47,246934.591,100.380,47,7079.411,2.878,47,882.302,0.359,47,3.544,0.001,47,1.762,0.001,47,301.572,0.123,47,11.369,0.005,47,1092.845,0.444,47,42.234,0.017,47,193.113,0.079,47,516.237,0.210,32,103933.139,42.249,378,132795.654,53.982,9255.000,3.762,129553.000,52.664,logs/sling-org-apache-sling-auth-core_default_master-finder.log
sling-org-apache-sling-auth-core,single-group_master-finder,239000.000,237000.000,1,237377.894,100.159,33,237371.289,100.157,33,4982.598,2.102,33,795.378,0.336,33,2.638,0.001,33,1.280,0.001,33,218.369,0.092,33,8.446,0.004,33,821.612,0.347,33,32.233,0.014,33,139.439,0.059,33,421.679,0.178,32,104082.738,43.917,378,125811.950,53.085,10956.000,4.623,111570.000,47.076,logs/sling-org-apache-sling-auth-core_single-group_master-finder.log
